Num_experimento,Seed,F1-score,best_parameter,varianza,std
97,699,0.458015267175573,{'C': 0.12},,
97,498,0.458015267175573,{'C': 0.12},,
97,783,0.458015267175573,{'C': 0.12},,
97,523,0.458015267175573,{'C': 0.12},,
97,827,0.458015267175573,{'C': 0.12},,
97,635,0.458015267175573,{'C': 0.12},,
97,707,0.458015267175573,{'C': 0.12},,
97,150,0.458015267175573,{'C': 0.12},,
97,638,0.458015267175573,{'C': 0.12},,
97,932,0.458015267175573,{'C': 0.12},,
97,640,0.458015267175573,{'C': 0.12},,
97,239,0.458015267175573,{'C': 0.12},,
97,795,0.458015267175573,{'C': 0.12},0,0
98,830,0.647619047619048,{'C': 0.12},,
98,604,0.647619047619048,{'C': 0.12},,
98,235,0.647619047619048,{'C': 0.12},,
98,429,0.647619047619048,{'C': 0.12},,
98,785,0.647619047619048,{'C': 0.12},0,0
99,349,0.66,{'C': 0.5},,
99,83,0.66,{'C': 0.5},,
99,135,0.66,{'C': 0.5},,
99,978,0.66,{'C': 0.5},,
99,191,0.66,{'C': 0.5},0,0
100,285,0.642201834862385,{'C': 0.5},,
100,740,0.642201834862385,{'C': 0.5},,
100,554,0.642201834862385,{'C': 0.5},,
100,885,0.642201834862385,{'C': 0.5},,
100,357,0.642201834862385,{'C': 0.5},0,0
101,280,0.712871287128713,{'C': 1},,
101,672,0.712871287128713,{'C': 1},,
101,541,0.712871287128713,{'C': 1},,
101,968,0.712871287128713,{'C': 1},,
101,670,0.712871287128713,{'C': 1},0,0
102,73,0.537037037037037,{'C': 0.12},,
102,307,0.537037037037037,{'C': 0.12},,
102,403,0.537037037037037,{'C': 0.12},,
102,184,0.537037037037037,{'C': 0.12},,
102,550,0.537037037037037,{'C': 0.12},0,0
103,105,0.458015267175573,{'C': 0.12},,
103,498,0.458015267175573,{'C': 0.12},,
103,819,0.458015267175573,{'C': 0.12},,
103,759,0.458015267175573,{'C': 0.12},,
103,979,0.458015267175573,{'C': 0.12},0,0
104,178,0.647619047619048,{'C': 0.12},,
104,122,0.647619047619048,{'C': 0.12},,
104,156,0.647619047619048,{'C': 0.12},,
104,297,0.647619047619048,{'C': 0.12},,
104,714,0.647619047619048,{'C': 0.12},0,0
105,149,0.66,{'C': 0.5},,
105,838,0.66,{'C': 0.5},,
105,251,0.66,{'C': 0.5},,
105,694,0.66,{'C': 0.5},,
105,623,0.66,{'C': 0.5},0,0
106,942,0.642201834862385,{'C': 0.5},,
106,120,0.642201834862385,{'C': 0.5},,
106,431,0.642201834862385,{'C': 0.5},,
106,168,0.642201834862385,{'C': 0.5},,
106,661,0.642201834862385,{'C': 0.5},0,0
107,976,0.712871287128713,{'C': 1},,
107,353,0.712871287128713,{'C': 1},,
107,957,0.712871287128713,{'C': 1},,
107,116,0.712871287128713,{'C': 1},,
107,248,0.712871287128713,{'C': 1},0,0
108,694,0.537037037037037,{'C': 0.12},,
108,820,0.537037037037037,{'C': 0.12},,
108,735,0.537037037037037,{'C': 0.12},,
108,965,0.537037037037037,{'C': 0.12},,
108,335,0.537037037037037,{'C': 0.12},0,0
109,976,0.449612403100775,{'C': 0.5},,
109,60,0.449612403100775,{'C': 0.5},,
109,109,0.449612403100775,{'C': 0.5},,
109,756,0.449612403100775,{'C': 0.5},,
109,481,0.449612403100775,{'C': 0.5},3.08148791101958E-33,5.55111512312578E-17
110,721,0.66,{'C': 0.25},,
110,647,0.66,{'C': 0.25},,
110,728,0.66,{'C': 0.25},,
110,325,0.66,{'C': 0.25},,
110,979,0.66,{'C': 0.25},0,0
111,316,0.666666666666667,{'C': 0.25},,
111,884,0.666666666666667,{'C': 0.25},,
111,130,0.666666666666667,{'C': 0.25},,
111,941,0.666666666666667,{'C': 0.25},,
111,929,0.666666666666667,{'C': 0.25},0,0
112,772,0.641509433962264,{'C': 0.5},,
112,750,0.641509433962264,{'C': 0.5},,
112,289,0.641509433962264,{'C': 0.5},,
112,811,0.641509433962264,{'C': 0.5},,
112,657,0.641509433962264,{'C': 0.5},0,0
113,887,0.704761904761905,{'C': 0.05},,
113,883,0.704761904761905,{'C': 0.05},,
113,733,0.704761904761905,{'C': 0.05},,
113,669,0.704761904761905,{'C': 0.05},,
113,12,0.704761904761905,{'C': 0.05},0,0
114,638,0.530973451327434,{'C': 0.05},,
114,203,0.530973451327434,{'C': 0.05},,
114,608,0.530973451327434,{'C': 0.05},,
114,447,0.530973451327434,{'C': 0.05},,
114,30,0.530973451327434,{'C': 0.05},0,0
115,328,0.449612403100775,{'C': 0.5},,
115,835,0.449612403100775,{'C': 0.5},,
115,65,0.449612403100775,{'C': 0.5},,
115,797,0.449612403100775,{'C': 0.5},,
115,14,0.449612403100775,{'C': 0.5},3.08148791101958E-33,5.55111512312578E-17
116,766,0.66,{'C': 0.25},,
116,355,0.66,{'C': 0.25},,
116,89,0.66,{'C': 0.25},,
116,926,0.66,{'C': 0.25},,
116,392,0.66,{'C': 0.25},0,0
117,275,0.666666666666667,{'C': 0.25},,
117,379,0.666666666666667,{'C': 0.25},,
117,746,0.666666666666667,{'C': 0.25},,
117,923,0.666666666666667,{'C': 0.25},,
117,118,0.666666666666667,{'C': 0.25},0,0
118,273,0.641509433962264,{'C': 0.5},,
118,582,0.641509433962264,{'C': 0.5},,
118,187,0.641509433962264,{'C': 0.5},,
118,714,0.641509433962264,{'C': 0.5},,
118,828,0.641509433962264,{'C': 0.5},0,0
119,390,0.704761904761905,{'C': 0.05},,
119,357,0.704761904761905,{'C': 0.05},,
119,833,0.704761904761905,{'C': 0.05},,
