	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.7032967032967035	standard	True	dict1	0.8
2	{'C': 0.05}	0.6804123711340206	standard	True	dict2	0.8
3	{'C': 0.05}	0.7083333333333334	standard	True	dict3	0.8
4	{'C': 0.05}	0.7291666666666666	standard	True	dict4	0.8
5	{'C': 0.25}	0.7954545454545454	normalize	True	dict1	0.8
6	{'C': 1}	0.7816091954022988	normalize	True	dict2	0.8
7	{'C': 0.12}	0.8275862068965518	normalize	True	dict3	0.8
8	{'C': 0.5}	0.8089887640449439	normalize	True	dict4	0.8
9	{'C': 0.05}	0.7032967032967035	standard	False	dict1	0.8
10	{'C': 0.05}	0.6804123711340206	standard	False	dict2	0.8
11	{'C': 0.05}	0.7083333333333334	standard	False	dict3	0.8
12	{'C': 0.05}	0.7526881720430108	standard	False	dict4	0.8
13	{'C': 0.25}	0.7954545454545454	normalize	False	dict1	0.8
14	{'C': 1}	0.7816091954022988	normalize	False	dict2	0.8
15	{'C': 0.25}	0.8333333333333333	normalize	False	dict3	0.8
16	{'C': 2}	0.7654320987654322	normalize	False	dict4	0.8
