	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.761904761904762	standard	True	dict1	0.95
2	{'C': 0.05}	0.7764705882352942	standard	True	dict2	0.95
3	{'C': 0.05}	0.6829268292682927	standard	True	dict3	0.95
4	{'C': 1}	0.6341463414634146	standard	True	dict4	0.95
5	{'C': 0.05}	0.7659574468085106	normalize	True	dict1	0.95
6	{'C': 0.12}	0.7777777777777778	normalize	True	dict2	0.95
7	{'C': 0.12}	0.7727272727272727	normalize	True	dict3	0.95
8	{'C': 0.25}	0.7446808510638298	normalize	True	dict4	0.95
9	{'C': 0.05}	0.761904761904762	standard	False	dict1	0.95
10	{'C': 0.05}	0.7764705882352942	standard	False	dict2	0.95
11	{'C': 0.05}	0.6829268292682927	standard	False	dict3	0.95
12	{'C': 0.25}	0.6419753086419754	standard	False	dict4	0.95
13	{'C': 0.05}	0.7659574468085106	normalize	False	dict1	0.95
14	{'C': 0.12}	0.7777777777777778	normalize	False	dict2	0.95
15	{'C': 0.12}	0.7727272727272727	normalize	False	dict3	0.95
16	{'C': 0.5}	0.7500000000000001	normalize	False	dict4	0.95
