Number of experiment,min,max,Number of features,Weighting,Best parameter,F1-score
0,1,1,4000,tf_stop,{'C': 0.05},0.771428571428571
2,1,2,500,tf_stop,{'C': 4},0.820512820512821
3,1,3,2000,tf_stop,{'C': 4},0.810126582278481
4,1,3,1500,tf_idf,{'C': 4},0.783783783783784
5,1,2,1500,stopwords,{'C': 4},0.826666666666666
6,1,2,1500,tf,{'C': 0.05},0.8
7,1,3,1500,tf,{'C': 1},0.81578947368421
8,1,1,2000,tf_idf,{'C': 0.05},0.788732394366197
9,1,1,1400,stopwords,{'C': 0.12},0.771428571428571
