1181,1700,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5220883534136546,{'C': 0.25}
1176,1700,2000,0.85,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user lowercase,binary,0.5214007782101168,{'C': 0.12}
1264,1700,2000,0.83,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level user lowercase,binary,0.5204460966542751,{'C': 1}
1177,2000,2000,0.85,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5187969924812029,{'C': 0.12}
1246,1700,2000,0.88,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5166051660516605,{'C': 0.05}
506,1500,1000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5116279069767442,{'C': 0.05}
518,1500,1000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Pre_trained Model,Level user upercase,tf,0.5116279069767442,{'C': 0.05}
10,3100,3500,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5112781954887218,{'C': 0.05}
34,3100,3500,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5112781954887218,{'C': 0.05}
22,3100,3500,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5112781954887218,{'C': 0.05}
46,3100,3500,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Pre_trained Model,Level post upercase,tf,0.5112781954887218,{'C': 0.05}
482,1500,1000,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5096525096525096,{'C': 0.05}
494,1500,1000,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level user upercase,tf,0.5096525096525096,{'C': 0.05}
106,3100,3500,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5095057034220533,{'C': 0.5}
118,3100,3500,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Depression Model,Level post upercase,tf,0.5095057034220533,{'C': 0.5}
1245,1500,2000,0.88,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5093632958801498,{'C': 0.5}
1249,1500,2000,0.88,Difference,Fuzzy,Not removed stopwords,Full matrix,Depression Model,Level post lowercase,binary,0.5093632958801498,{'C': 0.5}
