	best_parameter	f1	is_norm_dataset	dict	sim
1	{'C': 0.5}	0.36734693877551017	standard	dict5	0.98
2	{'C': 4}	0.4424778761061947	standard	dict6	0.98
3	{'C': 0.05}	0.44383561643835623	standard	dict7	0.98
4	{'C': 0.05}	0.13092852371409486	standard	dict8	0.98
5	{'C': 0.5}	0.4802110817941953	normalize	dict5	0.98
6	{'C': 0.5}	0.4724409448818898	normalize	dict6	0.98
7	{'C': 2}	0.4941860465116279	normalize	dict7	0.98
8	{'C': 0.05}	0.13092852371409486	normalize	dict8	0.98
9	{'C': 0.5}	0.371859296482412	standard	dict5	0.98
10	{'C': 4}	0.43946188340807174	standard	dict6	0.98
11	{'C': 0.5}	0.44383561643835623	standard	dict7	0.98
12	{'C': 0.05}	0.13092852371409486	standard	dict8	0.98
13	{'C': 0.5}	0.4918918918918919	normalize	dict5	0.98
14	{'C': 1}	0.4916201117318436	normalize	dict6	0.98
15	{'C': 2}	0.49132947976878605	normalize	dict7	0.98
16	{'C': 0.05}	0.13092852371409486	normalize	dict8	0.98
17	{'C': 0.25}	0.35121951219512193	standard	dict5	0.95
18	{'C': 0.12}	0.41666666666666663	standard	dict6	0.95
19	{'C': 0.05}	0.4383561643835616	standard	dict7	0.95
20	{'C': 0.05}	0.0	standard	dict8	0.95
21	{'C': 1}	0.48108108108108116	normalize	dict5	0.95
22	{'C': 2}	0.5448504983388706	normalize	dict6	0.95
23	{'C': 4}	0.4869565217391304	normalize	dict7	0.95
24	{'C': 0.05}	0.0	normalize	dict8	0.95
25	{'C': 1}	0.37499999999999994	standard	dict5	0.95
26	{'C': 1}	0.4177777777777778	standard	dict6	0.95
27	{'C': 0.12}	0.4371584699453552	standard	dict7	0.95
28	{'C': 0.05}	0.0	standard	dict8	0.95
29	{'C': 0.5}	0.489247311827957	normalize	dict5	0.95
30	{'C': 0.5}	0.47368421052631576	normalize	dict6	0.95
31	{'C': 2}	0.49142857142857144	normalize	dict7	0.95
32	{'C': 0.05}	0.0	normalize	dict8	0.95
