	num_feats	num_bigrams	remove_stop	tol	f1
1	1000	400	True	0.99	0.22411693057247256
2	1000	1500	True	0.99	0.22655298416565162
3	1000	2000	True	0.99	0.21800947867298578
4	1000	3000	True	0.99	0.21445221445221446
5	2000	400	True	0.99	0.21621621621621623
6	2000	1000	True	0.99	0.21076746849942726
7	2000	2000	True	0.99	0.2123287671232877
8	2200	400	True	0.99	0.21305841924398622
9	2200	1000	True	0.99	0.20828667413213886
10	2200	2000	True	0.99	0.21016949152542372
11	2200	3000	True	0.99	0.20982142857142855
12	3000	1000	True	0.99	0.21830985915492956
13	3000	1500	True	0.99	0.22248803827751196
14	3000	2000	True	0.99	0.21602787456445993
15	3000	3500	True	0.99	0.20689655172413793
16	3000	4000	True	0.99	0.21064552661381655
17	3000	5000	True	0.99	0.22037914691943128
18	4000	1000	True	0.99	0.24074074074074076
19	4000	1500	True	0.99	0.2433862433862434
20	4000	2000	True	0.99	0.23047375160051217
21	4000	3500	True	0.99	0.22549019607843138
22	4000	4000	True	0.99	0.22576687116564417
23	4000	5000	True	0.99	0.2346938775510204
24	500	1000	True	0.99	0.21087680355160934
25	500	2000	True	0.99	0.21664766248574688
26	500	3000	True	0.99	0.20175438596491227
27	1000	2000	True	0.99	0.21800947867298578
28	1000	3000	True	0.99	0.21445221445221446
29	1000	400	False	0.99	0.21386603995299647
30	1000	1500	False	0.99	0.21904761904761902
31	1000	2000	False	0.99	0.2227602905569007
32	1000	3000	False	0.99	0.21136363636363636
33	2000	400	False	0.99	0.21878715814506539
34	2000	1000	False	0.99	0.22248803827751196
35	2000	2000	False	0.99	0.22062350119904076
36	2200	400	False	0.99	0.21779859484777517
37	2200	1000	False	0.99	0.22738386308068462
38	2200	2000	False	0.99	0.21723730814639905
39	2200	3000	False	0.99	0.2120866590649943
40	3000	1000	False	0.99	0.23095823095823093
41	3000	1500	False	0.99	0.22596153846153846
42	3000	2000	False	0.99	0.22822085889570554
43	3000	3500	False	0.99	0.21830985915492956
44	3000	4000	False	0.99	0.2111237230419977
45	3000	5000	False	0.99	0.22828784119106701
46	4000	1000	False	0.99	0.24291497975708504
47	4000	1500	False	0.99	0.24074074074074076
48	4000	2000	False	0.99	0.2440318302387268
49	4000	3500	False	0.99	0.22576687116564417
50	4000	4000	False	0.99	0.22303030303030308
51	4000	5000	False	0.99	0.2356020942408377
52	500	1000	False	0.99	0.22333751568381432
53	500	2000	False	0.99	0.2330345710627401
54	500	3000	False	0.99	0.21602787456445993
55	1000	2000	False	0.99	0.2227602905569007
56	1000	3000	False	0.99	0.21136363636363636
