	tol	num_feats	remove_stop	compress	svm	fuzzy	best	f1
1	0.99	500	False	False	True	Fuzzy	{'C': 0.05}	0.7297297297297297
2	0.99	1000	False	False	True	Fuzzy	{'C': 4}	0.6567164179104478
3	0.99	2000	False	False	True	Fuzzy	{'C': 0.12}	0.6969696969696971
4	0.99	2200	False	False	True	Fuzzy	{'C': 0.05}	0.676923076923077
5	0.99	2500	False	False	True	Fuzzy	{'C': 0.05}	0.6969696969696971
6	0.99	3000	False	False	True	Fuzzy	{'C': 2}	0.676923076923077
7	0.99	4500	False	False	True	Fuzzy	{'C': 0.5}	0.676923076923077
8	0.99	5000	False	False	True	Fuzzy	{'C': 0.5}	0.6562499999999999
9	0.99	5100	False	False	True	Fuzzy	{'C': 0.5}	0.6562499999999999
10	0.99	500	True	False	True	fuzzy	{'C': 0.05}	0.7397260273972602
11	0.99	1000	True	False	True	fuzzy	{'C': 4}	0.6666666666666667
12	0.99	2000	True	False	True	fuzzy	{'C': 0.05}	0.7164179104477613
13	0.99	2200	True	False	True	fuzzy	{'C': 0.05}	0.7164179104477613
14	0.99	2500	True	False	True	fuzzy	{'C': 0.05}	0.676923076923077
15	0.99	3000	True	False	True	fuzzy	{'C': 0.05}	0.676923076923077
16	0.99	4500	True	False	True	fuzzy	{'C': 0.05}	0.676923076923077
17	0.99	5000	True	False	True	fuzzy	{'C': 0.05}	0.676923076923077
18	0.99	5100	True	False	True	fuzzy	{'C': 0.05}	0.676923076923077
19	0.99	500	False	False	False	No-Fuzzy	{'C': 0.05}	0.7297297297297297
20	0.99	1000	False	False	False	No-Fuzzy	{'C': 4}	0.6567164179104478
21	0.99	2000	False	False	False	No-Fuzzy	{'C': 0.12}	0.6969696969696971
22	0.99	2200	False	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
23	0.99	2500	False	False	False	No-Fuzzy	{'C': 0.05}	0.6969696969696971
24	0.99	3000	False	False	False	No-Fuzzy	{'C': 4}	0.6562499999999999
25	0.99	4500	False	False	False	No-Fuzzy	{'C': 0.5}	0.676923076923077
26	0.99	5000	False	False	False	No-Fuzzy	{'C': 0.5}	0.6562499999999999
27	0.99	5100	False	False	False	No-Fuzzy	{'C': 0.5}	0.6562499999999999
28	0.99	500	True	False	False	No-Fuzzy	{'C': 0.05}	0.7397260273972602
29	0.99	1000	True	False	False	No-Fuzzy	{'C': 4}	0.6666666666666667
30	0.99	2000	True	False	False	No-Fuzzy	{'C': 0.05}	0.7164179104477613
31	0.99	2200	True	False	False	No-Fuzzy	{'C': 0.05}	0.7164179104477613
32	0.99	2500	True	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
33	0.99	3000	True	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
34	0.99	4500	True	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
35	0.99	5000	True	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
36	0.99	5100	True	False	False	No-Fuzzy	{'C': 0.05}	0.676923076923077
