
0,[906, 410, 341, 955],0.00012234655211152464,0.011061037569393056
1,[386, 470, 820, 230],0.0002284365417693556,0.015114117300370393
2,[675, 349, 672, 962],0.0006976381002355042,0.026412839685189177
3,[471, 836, 428, 980],0.0007918503876574278,0.028139836311844954
4,[839, 501, 966, 513],0.000488454009776437,0.022100995673870374
5,[114, 190, 639, 96],0.0006337457809423351,0.025174307953592986
6,[406, 24, 938, 91],0.00015111535252818363,0.012292898459199264
7,[531, 676, 74, 270],0.0006487263356296728,0.025470106706287524
8,[389, 849, 94, 78],0.0002660846783161323,0.016312102204073278
9,[286, 785, 974, 957],0.0011023449827368033,0.033201581027667994
10,[921, 179, 641, 244],1.3442554085276223e-06,0.0011594202898550733
11,[3, 430, 76, 468],0.0009169188679110259,0.030280668221012327
12,[394, 611, 305, 500],0.00036264560524534964,0.019043256161837177
13,[864, 625, 100, 313],0.001109119910389735,0.03330345192903785
14,[691, 710, 906, 9],2.016383112791433e-06,0.0014199940537873506
15,[366, 379, 388, 393],0.00031909710227863376,0.017863289234590414
16,[686, 514, 252, 0],0.00030451127497837106,0.017450251430233637
17,[208, 570, 746, 860],0.0013780673203941819,0.03712232913482372
18,[797, 992, 168, 487],0.0002800024987998061,0.01673327519644036
19,[277, 469, 587, 595],0.0003952110901071209,0.01987991675302291
20,[97, 932, 509, 59],0.0007261762049777833,0.02694765676228238
21,[535, 128, 307, 352],0.0012249040983949382,0.03499862995025574
22,[251, 809, 966, 38],0.00126580326258261,0.03557812899215767
23,[146, 452, 140, 445],0.002855188516646867,0.05343396407386286
24,[367, 191, 758, 349],0.00033603238854224644,0.01833118622845359
40,[529, 335, 648, 96],0.0015692505753981318,0.03961376749815816
60,[253, 143, 606, 475],0.00265213038816682,0.05149883870697299
25,[487, 282, 529, 911],0.002379631148045296,0.0487814631601523
41,[845, 327, 130, 831],0.003791086622338933,0.061571800544883634
61,[431, 39, 648, 836],0.00030057183971262335,0.017337007807364666
26,[554, 930, 735, 646],0.0017106133395835281,0.0413595616464141
42,[655, 992, 18, 980],0.0012483888533638312,0.035332546658340826
62,[977, 622, 132, 466],0.0016000000000000035,0.04000000000000004
27,[363, 171, 528, 545],0.002585675463013112,0.05084953749065091
43,[941, 357, 728, 815],0.0014600643979437295,0.038210789025401315
63,[230, 292, 784, 497],0.0034743335205727156,0.05894347733695999
28,[684, 685, 139, 453],0.0008144939637486082,0.028539340632688207
44,[685, 454, 327, 769],0.004202953725287685,0.06483019146422202
29,[557, 707, 783, 863],0.0006805064710009337,0.02608651895138433
80,[16, 994, 71, 483],0.0027427903363612025,0.05237165584895328
64,[362, 798, 101, 996],0.001265882927823305,0.035579248556192204
45,[907, 441, 265, 695],0.0021836046714653256,0.04672905596591189
65,[322, 452, 801, 7],0.0006179143055153627,0.02485788216070232
30,[683, 360, 772, 915],0.00179305187929827,0.04234444331076121
31,[366, 424, 687, 146],0.0032499960201822684,0.057008736349635644
46,[184, 844, 76, 898],0.004242850502783165,0.0651371668311047
81,[909, 932, 42, 232],0.0020429597979381526,0.04519911280034324
32,[489, 430, 427, 646],0.001017423065839871,0.03189706986291799
66,[756, 708, 198, 381],0.0005859517199242207,0.024206439637505982
100,[863, 777, 729, 290],0.0011169065752019518,0.033420152231878775
47,[954, 188, 124, 385],0.002560242365614471,0.050598837591534364
48,[196, 779, 550, 595],0.001852042465786391,0.043035362967987045
82,[282, 864, 394, 15],0.0006428585411426174,0.025354655216401928
67,[881, 424, 981, 907],0.0014169747825183137,0.037642725492693985
120,[462, 92, 720, 783],0.0005123483446767706,0.022635113091760126
49,[134, 443, 47, 726],0.0013649302161760257,0.03694496198639303
33,[323, 222, 284, 241],0.001434165799514397,0.03787038156019024
68,[518, 803, 304, 76],0.00032276074013399116,0.017965543134956737
50,[750, 932, 479, 461],0.0010815759388700936,0.032887321856151404
101,[430, 773, 210, 811],0.003283083584905644,0.05729819879285599
140,[906, 982, 704, 25],0.0043195057870235795,0.06572294718759636
34,[539, 674, 39, 8],0.00037561546371699226,0.019380801420916326
69,[585, 963, 144, 664],0.00013800683814343395,0.011747631171578121
83,[384, 413, 375, 260],0.0018140338555316076,0.042591476324865846
121,[394, 85, 301, 313],0.00047276947305807394,0.021743262704986895
51,[955, 147, 527, 228],0.0006370330556302079,0.02523951377562983
70,[630, 288, 481, 685],0.001961158693699031,0.04428497142032533
35,[240, 774, 732, 999],0.0018273771904625136,0.0427478325820446
52,[772, 465, 823, 224],0.0014025733684060462,0.03745094616169325
122,[543, 504, 725, 805],0.0019640535610419953,0.04431764390219763
71,[344, 897, 230, 871],0.0012613294004839247,0.035515199569816934
102,[649, 821, 896, 547],0.002347407374246514,0.0484500503017955
36,[554, 42, 713, 483],0.00025834682578438045,0.016073170993440605
141,[463, 843, 930, 179],0.00047276947305807383,0.02174326270498689
53,[648, 146, 847, 987],0.0030772521701546195,0.05547298594951077
72,[875, 50, 566, 917],0.004752288434585082,0.06893684381073072
84,[641, 190, 858, 304],0.0015124884551500225,0.03889072453876403
37,[798, 600, 791, 289],0.0006834020842129834,0.026141960221318206
142,[89, 309, 957, 60],0.0013709088410387104,0.037025786163682066
54,[387, 191, 322, 381],0.0016706753983474908,0.04087389629515996
73,[379, 363, 559, 935],0.00030110428518390596,0.017352356761659377
38,[112, 344, 219, 895],0.002601942489707659,0.05100923925827221
103,[96, 600, 720, 237],0.0017583475655215141,0.04193265512129555
55,[195, 617, 321, 969],0.0008861835367532137,0.02976883499153458
123,[285, 389, 238, 185],0.0008769736968325366,0.029613741689164114
74,[121, 221, 647, 867],0.0006441111855489927,0.025379345648558253
39,[514, 684, 881, 534],0.0020642830247792165,0.04543438152742058
56,[156, 252, 685, 690],0.002978681485009193,0.05457729825677699
124,[329, 378, 772, 130],0.000630470757896611,0.025109176766604895
75,[854, 906, 93, 760],0.001405391205111692,0.037488547652739124
85,[998, 278, 536, 148],0.0015446001605902387,0.03930140150923678
143,[52, 318, 658, 336],0.001929181570701805,0.04392244950707787
