	best_parameter	f1	is_norm_dataset	dict
5	{'C': 2}	0.7906976744186047	normalize	dict1
6	{'C': 0.5}	0.782608695652174	normalize	dict2
8	{'C': 0.12}	0.7956989247311829	normalize	dict4
13	{'C': 2}	0.7906976744186047	normalize	dict1
14	{'C': 0.5}	0.782608695652174	normalize	dict2
