	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 2}	0.7441860465116279	standard	True	dict1	0.95
2	{'C': 0.05}	0.6804123711340206	standard	True	dict2	0.95
3	{'C': 0.05}	0.6666666666666667	standard	True	dict3	0.95
4	{'C': 0.05}	0.6732673267326732	standard	True	dict4	0.95
5	{'C': 0.05}	0.5897435897435899	normalize	True	dict1	0.95
6	{'C': 4}	0.6493506493506495	normalize	True	dict2	0.95
7	{'C': 4}	0.6172839506172839	normalize	True	dict3	0.95
8	{'C': 0.5}	0.547945205479452	normalize	True	dict4	0.95
9	{'C': 4}	0.7654320987654322	standard	False	dict1	0.95
10	{'C': 0.12}	0.6804123711340206	standard	False	dict2	0.95
11	{'C': 0.05}	0.6599999999999999	standard	False	dict3	0.95
12	{'C': 0.05}	0.6799999999999999	standard	False	dict4	0.95
13	{'C': 0.05}	0.575	normalize	False	dict1	0.95
14	{'C': 1}	0.64	normalize	False	dict2	0.95
15	{'C': 2}	0.6499999999999999	normalize	False	dict3	0.95
16	{'C': 1}	0.5866666666666668	normalize	False	dict4	0.95
