	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.6818181818181819	standard	True	dict1	0.8
2	{'C': 0.25}	0.6444444444444445	standard	True	dict2	0.8
3	{'C': 4}	0.6111111111111112	standard	True	dict3	0.8
4	{'C': 0.05}	0.6516853932584269	standard	True	dict4	0.8
5	{'C': 4}	0.6666666666666667	normalize	True	dict1	0.8
6	{'C': 0.05}	0.6857142857142857	normalize	True	dict2	0.8
7	{'C': 0.05}	0.7346938775510203	normalize	True	dict3	0.8
8	{'C': 0.05}	0.7326732673267328	normalize	True	dict4	0.8
9	{'C': 0.05}	0.6818181818181819	standard	False	dict1	0.8
10	{'C': 0.25}	0.6444444444444445	standard	False	dict2	0.8
11	{'C': 4}	0.6111111111111112	standard	False	dict3	0.8
12	{'C': 0.05}	0.6516853932584269	standard	False	dict4	0.8
13	{'C': 4}	0.6666666666666667	normalize	False	dict1	0.8
14	{'C': 0.05}	0.6857142857142857	normalize	False	dict2	0.8
15	{'C': 0.05}	0.7346938775510203	normalize	False	dict3	0.8
16	{'C': 0.12}	0.7422680412371134	normalize	False	dict4	0.8
