	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.7272727272727273	standard	True	dict1	0.8
2	{'C': 0.05}	0.7222222222222221	standard	True	dict2	0.8
3	{'C': 0.12}	0.7307692307692307	standard	True	dict3	0.8
4	{'C': 0.05}	0.6666666666666666	standard	True	dict4	0.8
5	{'C': 1}	0.5773195876288659	normalize	True	dict1	0.8
6	{'C': 2}	0.6206896551724138	normalize	True	dict2	0.8
7	{'C': 2}	0.6444444444444445	normalize	True	dict3	0.8
8	{'C': 2}	0.6593406593406594	normalize	True	dict4	0.8
9	{'C': 0.05}	0.7142857142857142	standard	False	dict1	0.8
10	{'C': 0.05}	0.7358490566037735	standard	False	dict2	0.8
11	{'C': 0.12}	0.7289719626168225	standard	False	dict3	0.8
12	{'C': 0.05}	0.6554621848739496	standard	False	dict4	0.8
13	{'C': 1}	0.5714285714285715	normalize	False	dict1	0.8
14	{'C': 2}	0.6136363636363638	normalize	False	dict2	0.8
15	{'C': 2}	0.6373626373626374	normalize	False	dict3	0.8
16	{'C': 2}	0.6666666666666666	normalize	False	dict4	0.8
