	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.05}	0.6966292134831461	standard	True	dict1	0.98
2	{'C': 0.25}	0.6666666666666666	standard	True	dict2	0.98
3	{'C': 4}	0.6133333333333334	standard	True	dict3	0.98
4	{'C': 4}	0.625	standard	True	dict4	0.98
5	{'C': 4}	0.6823529411764706	normalize	True	dict1	0.98
6	{'C': 0.05}	0.6990291262135923	normalize	True	dict2	0.98
7	{'C': 0.12}	0.7472527472527474	normalize	True	dict3	0.98
8	{'C': 0.12}	0.717391304347826	normalize	True	dict4	0.98
9	{'C': 0.05}	0.6966292134831461	standard	False	dict1	0.98
10	{'C': 0.25}	0.6666666666666666	standard	False	dict2	0.98
11	{'C': 4}	0.6133333333333334	standard	False	dict3	0.98
12	{'C': 4}	0.6172839506172839	standard	False	dict4	0.98
13	{'C': 4}	0.6823529411764706	normalize	False	dict1	0.98
14	{'C': 0.05}	0.6990291262135923	normalize	False	dict2	0.98
15	{'C': 0.12}	0.7472527472527474	normalize	False	dict3	0.98
16	{'C': 0.12}	0.7157894736842105	normalize	False	dict4	0.98
