
40,[451, 192, 6, 324, 361],0.0,0.0
0,[319, 243, 51, 526, 771],0.0,0.0
10,[52, 192, 484, 653, 648],0.0,0.0
20,[501, 781, 889, 922, 929],0.0,0.0
30,[799, 840, 643, 101, 768],0.0,0.0
1,[192, 823, 782, 210, 775],0.0,0.0
41,[517, 679, 25, 65, 365],0.0,0.0
11,[741, 138, 448, 665, 673],0.0,0.0
12,[984, 344, 698, 353, 850],0.0,0.0
2,[941, 868, 732, 722, 342],0.0,0.0
31,[162, 547, 894, 608, 11],3.8267566354645654e-05,0.006186078431013113
42,[972, 312, 139, 595, 931],0.0,0.0
13,[918, 272, 361, 726, 584],0.0,0.0
43,[888, 234, 250, 298, 918],0.0,0.0
3,[356, 161, 593, 199, 889],0.0,0.0
14,[418, 109, 579, 342, 980],0.0,0.0
44,[860, 382, 790, 172, 581],0.0,0.0
21,[42, 431, 851, 339, 744],0.0,0.0
4,[396, 119, 702, 746, 310],0.0,0.0
15,[824, 632, 915, 314, 777],0.0,0.0
32,[650, 704, 743, 298, 439],7.208361597030962e-06,0.0026848392125099338
45,[439, 992, 101, 675, 953],0.0,0.0
5,[157, 164, 481, 486, 573],0.0,0.0
33,[545, 283, 147, 593, 983],0.0,0.0
22,[179, 831, 234, 357, 195],3.473103117787955e-05,0.005893303927160006
46,[837, 733, 35, 586, 303],0.0,0.0
16,[62, 420, 246, 229, 115],0.0,0.0
6,[512, 509, 420, 883, 436],0.0,0.0
47,[990, 652, 613, 222, 13],0.0,0.0
17,[365, 172, 8, 915, 335],0.0,0.0
7,[336, 658, 804, 41, 433],0.0,0.0
23,[743, 181, 54, 372, 675],0.0,0.0
34,[622, 816, 495, 390, 473],0.0004376814438316563,0.02092083755091216
18,[806, 918, 904, 402, 870],0.0,0.0
48,[614, 651, 299, 69, 121],0.0,0.0
49,[600, 222, 722, 631, 517],0.0,0.0
8,[132, 751, 316, 53, 942],0.0,0.0
24,[424, 216, 994, 37, 119],0.0,0.0
19,[8, 152, 87, 7, 942],0.0,0.0
35,[243, 914, 33, 155, 700],1.8400486432536507e-05,0.004289578817615607
9,[653, 454, 593, 60, 302],0.0,0.0
25,[716, 232, 278, 778, 396],0.0,0.0
26,[682, 46, 450, 314, 231],1.954232354281593e-05,0.004420670033243369
36,[404, 971, 815, 254, 738],0.0,0.0
27,[57, 402, 472, 208, 987],5.272890058894648e-06,0.0022962774350880704
28,[269, 298, 526, 629, 258],1.8347159599789723e-05,0.004283358448669656
37,[423, 390, 797, 179, 514],5.638458101559022e-06,0.00237454376703379
38,[869, 90, 241, 39, 502],1.0498849122698486e-06,0.0010246389179949435
