	best_parameter	f1	is_norm_dataset	remove	dict	sim
1	{'C': 0.05}	0.22222222222222224	standard	True	dict5	0.98
2	{'C': 4}	0.22410147991543342	standard	True	dict6	0.98
3	{'C': 4}	0.22410147991543342	standard	True	dict7	0.98
4	{'C': 0.05}	0.22222222222222224	standard	True	dict8	0.98
5	{'C': 0.25}	0.21285140562248997	normalize	True	dict5	0.98
6	{'C': 0.25}	0.21285140562248997	normalize	True	dict6	0.98
7	{'C': 0.25}	0.21285140562248997	normalize	True	dict7	0.98
8	{'C': 0.25}	0.21285140562248997	normalize	True	dict8	0.98
9	{'C': 2}	0.2251082251082251	standard	False	dict5	0.98
10	{'C': 2}	0.2251082251082251	standard	False	dict6	0.98
11	{'C': 0.05}	0.22222222222222224	standard	False	dict7	0.98
12	{'C': 0.05}	0.22222222222222224	standard	False	dict8	0.98
13	{'C': 0.25}	0.21285140562248997	normalize	False	dict5	0.98
14	{'C': 0.25}	0.21285140562248997	normalize	False	dict6	0.98
15	{'C': 0.25}	0.21285140562248997	normalize	False	dict7	0.98
16	{'C': 0.25}	0.21285140562248997	normalize	False	dict8	0.98
17	{'C': 0.05}	0.22222222222222224	standard	True	dict5	0.95
18	{'C': 4}	0.22410147991543342	standard	True	dict6	0.95
19	{'C': 2}	0.2251082251082251	standard	True	dict7	0.95
20	{'C': 2}	0.2251082251082251	standard	True	dict8	0.95
21	{'C': 0.25}	0.21285140562248997	normalize	True	dict5	0.95
22	{'C': 0.25}	0.21285140562248997	normalize	True	dict6	0.95
23	{'C': 0.25}	0.21285140562248997	normalize	True	dict7	0.95
24	{'C': 0.25}	0.21285140562248997	normalize	True	dict8	0.95
25	{'C': 0.05}	0.22222222222222224	standard	False	dict5	0.95
26	{'C': 0.5}	0.22462203023758098	standard	False	dict6	0.95
27	{'C': 4}	0.22410147991543342	standard	False	dict7	0.95
28	{'C': 4}	0.22410147991543342	standard	False	dict8	0.95
29	{'C': 0.25}	0.21285140562248997	normalize	False	dict5	0.95
30	{'C': 0.25}	0.21285140562248997	normalize	False	dict6	0.95
31	{'C': 0.25}	0.21285140562248997	normalize	False	dict7	0.95
32	{'C': 0.25}	0.21285140562248997	normalize	False	dict8	0.95
