	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
81	1000	0.99	True	False	True	True	0.3648068669527897	{'C': 0.12}
82	1500	0.99	True	False	True	True	0.33599999999999997	{'C': 0.05}
83	2000	0.99	True	False	True	True	0.3314500941619586	{'C': 0.25}
84	2500	0.99	True	False	True	True	0.30689655172413793	{'C': 0.12}
85	3000	0.99	True	False	True	True	0.332703213610586	{'C': 2}
86	4000	0.99	True	False	True	True	0.3247232472324723	{'C': 0.05}
87	4500	0.99	True	False	True	True	0.28475711892797323	{'C': 0.05}
88	5000	0.99	True	False	True	True	0.25954198473282447	{'C': 0.05}
89	5500	0.99	True	False	True	True	0.25454545454545446	{'C': 0.05}
90	6000	0.99	True	False	True	True	0.24888888888888888	{'C': 0.05}
91	1000	0.99	True	True	True	True	0.3648068669527897	{'C': 0.25}
92	1500	0.99	True	True	True	True	0.3373493975903614	{'C': 0.12}
93	2000	0.99	True	True	True	True	0.33976833976833976	{'C': 0.12}
94	2500	0.99	True	True	True	True	0.3117338003502627	{'C': 0.05}
95	3000	0.99	True	True	True	True	0.33396584440227706	{'C': 0.12}
96	4000	0.99	True	True	True	True	0.3241252302025783	{'C': 0.05}
97	4500	0.99	True	True	True	True	0.28571428571428575	{'C': 0.05}
98	5000	0.99	True	True	True	True	0.25954198473282447	{'C': 0.05}
99	5500	0.99	True	True	True	True	0.25454545454545446	{'C': 0.05}
100	6000	0.99	True	True	True	True	0.24888888888888888	{'C': 0.05}
