	num_feats	tol	fuzzy	remove_stop	svm	compress	f1
1	1000	0.99	True	False	False	False	0.19087136929460582
2	1500	0.99	True	False	False	False	0.18794688457609804
3	2000	0.99	True	False	False	False	0.1978723404255319
4	2500	0.99	True	False	False	False	0.19724284199363734
5	3000	0.99	True	False	False	False	0.21016949152542372
6	4000	0.99	True	False	False	False	0.21545667447306788
7	4500	0.99	True	False	False	False	0.21261682242990654
8	5000	0.99	True	False	False	False	0.21601941747572814
9	5500	0.99	True	False	False	False	0.22727272727272727
10	6000	0.99	True	False	False	False	0.2312579415501906
