	num_feats	tol	fuzzy	remove_stop	svm	compress	f1
11	1000	0.99	True	True	False	False	0.19254658385093165
12	1500	0.99	True	True	False	False	0.18794688457609804
13	2000	0.99	True	True	False	False	0.19829424307036245
14	2500	0.99	True	True	False	False	0.1978723404255319
15	3000	0.99	True	True	False	False	0.20969560315670802
16	4000	0.99	True	True	False	False	0.21495327102803738
17	4500	0.99	True	True	False	False	0.21212121212121213
18	5000	0.99	True	True	False	False	0.21419975932611315
19	5500	0.99	True	True	False	False	0.22670025188916879
20	6000	0.99	True	True	False	False	0.23037974683544304
