	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
221	1000	0.99	True	False	True	True	0.3648068669527897	{'C': 0.12}
222	1500	0.99	True	False	True	True	0.33599999999999997	{'C': 0.05}
223	2000	0.99	True	False	True	True	0.3314500941619586	{'C': 0.25}
224	2500	0.99	True	False	True	True	0.30689655172413793	{'C': 0.12}
225	3000	0.99	True	False	True	True	0.332703213610586	{'C': 0.12}
226	4000	0.99	True	False	True	True	0.3247232472324723	{'C': 0.05}
227	4500	0.99	True	False	True	True	0.28475711892797323	{'C': 0.05}
228	5000	0.99	True	False	True	True	0.2623456790123456	{'C': 0.05}
229	5500	0.99	True	False	True	True	0.2537764350453172	{'C': 0.05}
230	6000	0.99	True	False	True	True	0.25	{'C': 0.05}
231	1000	0.99	True	True	True	True	0.3648068669527897	{'C': 0.25}
232	1500	0.99	True	True	True	True	0.3373493975903614	{'C': 0.12}
233	2000	0.99	True	True	True	True	0.33976833976833976	{'C': 0.12}
234	2500	0.99	True	True	True	True	0.3117338003502627	{'C': 0.05}
235	3000	0.99	True	True	True	True	0.33333333333333337	{'C': 0.12}
236	4000	0.99	True	True	True	True	0.3241252302025783	{'C': 0.05}
237	4500	0.99	True	True	True	True	0.28667790893760536	{'C': 0.05}
238	5000	0.99	True	True	True	True	0.2603369065849923	{'C': 0.05}
239	5500	0.99	True	True	True	True	0.2541603630862329	{'C': 0.05}
240	6000	0.99	True	True	True	True	0.24962852897473997	{'C': 0.12}
