	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
101	1000	0.99	False	False	True	True	0.3648068669527897	{'C': 0.12}
102	1500	0.99	False	False	True	True	0.33599999999999997	{'C': 0.05}
103	2000	0.99	False	False	True	True	0.3314500941619586	{'C': 0.25}
104	2500	0.99	False	False	True	True	0.30689655172413793	{'C': 0.12}
105	3000	0.99	False	False	True	True	0.332703213610586	{'C': 2}
106	4000	0.99	False	False	True	True	0.3247232472324723	{'C': 0.05}
107	4500	0.99	False	False	True	True	0.28475711892797323	{'C': 0.05}
108	5000	0.99	False	False	True	True	0.25954198473282447	{'C': 0.05}
109	5500	0.99	False	False	True	True	0.25454545454545446	{'C': 0.05}
110	6000	0.99	False	False	True	True	0.24888888888888888	{'C': 0.05}
111	1000	0.99	False	True	True	True	0.3648068669527897	{'C': 0.25}
112	1500	0.99	False	True	True	True	0.3373493975903614	{'C': 0.12}
113	2000	0.99	False	True	True	True	0.33976833976833976	{'C': 0.12}
114	2500	0.99	False	True	True	True	0.3117338003502627	{'C': 0.05}
115	3000	0.99	False	True	True	True	0.33396584440227706	{'C': 0.12}
116	4000	0.99	False	True	True	True	0.3241252302025783	{'C': 0.05}
117	4500	0.99	False	True	True	True	0.28571428571428575	{'C': 0.05}
118	5000	0.99	False	True	True	True	0.25954198473282447	{'C': 0.05}
119	5500	0.99	False	True	True	True	0.25454545454545446	{'C': 0.05}
120	6000	0.99	False	True	True	True	0.24888888888888888	{'C': 0.05}
