	num_feats	tol	fuzzy	remove_stop	svm	compress	f1
31	1000	0.99	False	True	False	False	0.18998978549540346
32	1500	0.99	False	True	False	False	0.18604651162790697
33	2000	0.99	False	True	False	False	0.19476439790575917
34	2500	0.99	False	True	False	False	0.1943573667711599
35	3000	0.99	False	True	False	False	0.2062084257206208
36	4000	0.99	False	True	False	False	0.2119815668202765
37	4500	0.99	False	True	False	False	0.21125143513203218
38	5000	0.99	False	True	False	False	0.2156398104265403
39	5500	0.99	False	True	False	False	0.22441430332922316
40	6000	0.99	False	True	False	False	0.2291407222914072
