	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
161	1000	0.99	True	False	True	False	0.4135021097046413	{'C': 2}
162	1500	0.99	True	False	True	False	0.4453781512605042	{'C': 0.05}
163	2000	0.99	True	False	True	False	0.4830508474576271	{'C': 0.05}
164	2500	0.99	True	False	True	False	0.5064377682403434	{'C': 0.05}
165	3000	0.99	True	False	True	False	0.5152838427947598	{'C': 0.05}
166	4000	0.99	True	False	True	False	0.5022026431718062	{'C': 2}
167	4500	0.99	True	False	True	False	0.5267857142857143	{'C': 0.05}
168	5000	0.99	True	False	True	False	0.5240174672489083	{'C': 0.05}
169	5500	0.99	True	False	True	False	0.5344827586206897	{'C': 0.05}
170	6000	0.99	True	False	True	False	0.5299145299145299	{'C': 0.05}
171	1000	0.99	True	True	True	False	0.4206008583690988	{'C': 0.25}
172	1500	0.99	True	True	True	False	0.4435146443514644	{'C': 0.05}
173	2000	0.99	True	True	True	False	0.4851063829787234	{'C': 0.12}
174	2500	0.99	True	True	True	False	0.4936170212765958	{'C': 0.05}
175	3000	0.99	True	True	True	False	0.4890829694323144	{'C': 0.5}
176	4000	0.99	True	True	True	False	0.49565217391304345	{'C': 0.05}
177	4500	0.99	True	True	True	False	0.5043478260869565	{'C': 1}
178	5000	0.99	True	True	True	False	0.5110132158590309	{'C': 0.05}
179	5500	0.99	True	True	True	False	0.5152838427947598	{'C': 0.12}
180	6000	0.99	True	True	True	False	0.5281385281385281	{'C': 1}
