963,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,317,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
963,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,562,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
963,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,501,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
963,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,729,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
963,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,795,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
1163,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,744,0.8500000000000001,{'C': 0.05},normal_preprocess
1163,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,8,0.8500000000000001,{'C': 0.05},normal_preprocess
1163,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,464,0.8500000000000001,{'C': 0.05},normal_preprocess
1163,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,351,0.8500000000000001,{'C': 0.05},normal_preprocess
1163,500,200,1,2,tf_stop,Level user lowercase,700,Difference,svm,122,0.8500000000000001,{'C': 0.05},normal_preprocess
983,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,632,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
983,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,146,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
983,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,357,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
983,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,428,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
983,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,778,0.8500000000000001,{'C': 0.05},ekphrasis_preprocess
1183,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,584,0.8500000000000001,{'C': 0.05},normal_preprocess
1183,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,98,0.8500000000000001,{'C': 0.05},normal_preprocess
1183,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,266,0.8500000000000001,{'C': 0.05},normal_preprocess
1183,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,172,0.8500000000000001,{'C': 0.05},normal_preprocess
1183,500,200,1,2,stopwords,Level user lowercase,700,Difference,svm,689,0.8500000000000001,{'C': 0.05},normal_preprocess
1193,500,200,1,2,tf_idf,Level user lowercase,700,Difference,svm,4,0.8500000000000001,{'C': 0.05},normal_preprocess
1193,500,200,1,2,tf_idf,Level user lowercase,700,Difference,svm,160,0.8500000000000001,{'C': 0.05},normal_preprocess
1193,500,200,1,2,tf_idf,Level user lowercase,700,Difference,svm,645,0.8500000000000001,{'C': 0.05},normal_preprocess
1193,500,200,1,2,tf_idf,Level user lowercase,700,Difference,svm,979,0.8500000000000001,{'C': 0.05},normal_preprocess
1193,500,200,1,2,tf_idf,Level user lowercase,700,Difference,svm,39,0.8500000000000001,{'C': 0.05},normal_preprocess
991,500,200,1,2,tf_idf,Level user lowercase,573,No difference,svm,57,0.8461538461538461,{'C': 0.12},ekphrasis_preprocess
991,500,200,1,2,tf_idf,Level user lowercase,573,No difference,svm,937,0.8461538461538461,{'C': 0.12},ekphrasis_preprocess
991,500,200,1,2,tf_idf,Level user lowercase,573,No difference,svm,856,0.8461538461538461,{'C': 0.12},ekphrasis_preprocess
991,500,200,1,2,tf_idf,Level user lowercase,573,No difference,svm,746,0.8461538461538461,{'C': 0.12},ekphrasis_preprocess
991,500,200,1,2,tf_idf,Level user lowercase,573,No difference,svm,273,0.8461538461538461,{'C': 0.12},ekphrasis_preprocess
260,100,100,1,2,tf_stop,Level post lowercase,200,Difference,svm,727,0.8433734939759037,{'C': 1},ekphrasis_preprocess
260,100,100,1,2,tf_stop,Level post lowercase,200,Difference,svm,515,0.8433734939759037,{'C': 1},ekphrasis_preprocess
260,100,100,1,2,tf_stop,Level post lowercase,200,Difference,svm,898,0.8433734939759037,{'C': 1},ekphrasis_preprocess
