

0,[128, 69, 68, 418],0.0,0.0
120,[595, 90, 874, 889],0.0,0.0
1,[157, 260, 667, 423],0.0,0.0
60,[277, 420, 683, 874],0.0,0.0
20,[714, 990, 180, 41],0.0,0.0
99,[293, 307, 749, 178],0.0,0.0
121,[298, 547, 169, 159],0.0,0.0
61,[451, 455, 198, 149],0.0,0.0
21,[525, 773, 576, 62],0.0,0.0
99,[64, 378, 544, 871],0.0,0.0
62,[200, 98, 741, 409],0.0,0.0
122,[582, 423, 397, 513],0.0,0.0
22,[590, 355, 781, 230],0.0,0.0
63,[891, 134, 665, 149],0.0,0.0
23,[627, 164, 975, 179],0.0,0.0
64,[573, 782, 313, 636],0.0,0.0
2,[250, 3, 224, 187],0.0,0.0
65,[715, 205, 870, 146],0.0,0.0
24,[980, 453, 470, 795],0.0,0.0
123,[67, 769, 835, 872],0.0,0.0
25,[859, 661, 770, 421],0.0,0.0
124,[83, 553, 607, 584],0.0,0.0
66,[543, 265, 411, 385],0.0,0.0
26,[180, 967, 78, 789],0.0,0.0
67,[481, 816, 184, 356],0.0,0.0
125,[854, 506, 37, 783],0.0,0.0
27,[638, 237, 975, 408],0.0,0.0
3,[455, 789, 172, 833],0.0,0.0
68,[396, 839, 766, 654],0.0,0.0
69,[490, 945, 890, 225],0.0,0.0
28,[898, 814, 717, 979],1.232595164407831e-32,1.1102230246251565e-16
70,[21, 765, 52, 779],0.0,0.0
29,[282, 728, 918, 81],1.232595164407831e-32,1.1102230246251565e-16
71,[60, 384, 206, 469],0.0,0.0
72,[220, 74, 166, 638],0.0,0.0
73,[656, 877, 598, 376],0.0,0.0
74,[711, 668, 17, 321],0.0,0.0
30,[792, 1, 940, 774],0.0,0.0
75,[210, 855, 417, 455],0.0,0.0
126,[868, 907, 961, 896],0.0,0.0
31,[156, 502, 954, 219],0.0,0.0
76,[389, 29, 388, 71],0.0,0.0
4,[635, 775, 734, 16],0.0,0.0
77,[417, 372, 712, 467],0.0,0.0
32,[359, 920, 647, 245],1.232595164407831e-32,1.1102230246251565e-16
127,[972, 279, 516, 934],1.232595164407831e-32,1.1102230246251565e-16
78,[751, 570, 900, 241],0.0,0.0
128,[561, 358, 673, 81],0.0,0.0
79,[775, 750, 709, 310],0.0,0.0
33,[716, 317, 371, 780],1.232595164407831e-32,1.1102230246251565e-16
129,[860, 944, 793, 503],1.232595164407831e-32,1.1102230246251565e-16
34,[508, 510, 529, 128],1.232595164407831e-32,1.1102230246251565e-16
35,[395, 279, 79, 747],1.232595164407831e-32,1.1102230246251565e-16
5,[191, 138, 959, 808],0.0,0.0
36,[652, 12, 137, 872],1.232595164407831e-32,1.1102230246251565e-16
37,[614, 914, 961, 368],1.232595164407831e-32,1.1102230246251565e-16
130,[628, 154, 904, 831],0.0,0.0
38,[983, 775, 414, 529],1.232595164407831e-32,1.1102230246251565e-16
39,[522, 544, 66, 962],1.232595164407831e-32,1.1102230246251565e-16
131,[641, 68, 203, 239],1.232595164407831e-32,1.1102230246251565e-16
6,[81, 813, 259, 436],0.0,0.0
132,[876, 855, 111, 86],0.0,0.0
133,[690, 597, 572, 775],1.232595164407831e-32,1.1102230246251565e-16
134,[668, 134, 576, 951],0.0,0.0
135,[117, 983, 658, 249],1.232595164407831e-32,1.1102230246251565e-16
136,[683, 564, 820, 594],0.0,0.0
7,[518, 792, 591, 621],0.0,0.0
137,[57, 939, 813, 63],1.232595164407831e-32,1.1102230246251565e-16
138,[794, 889, 266, 713],0.0,0.0
8,[226, 889, 405, 236],0.0,0.0
139,[596, 362, 187, 96],0.0,0.0
9,[543, 58, 705, 80],0.0,0.0
10,[553, 711, 662, 361],0.0,0.0
11,[490, 591, 907, 274],0.0,0.0
12,[306, 595, 573, 447],0.0,0.0
13,[556, 281, 508, 199],0.0,0.0
14,[87, 381, 336, 537],0.0,0.0
15,[447, 936, 317, 893],0.0,0.0
16,[753, 845, 557, 598],0.0,0.0
17,[359, 678, 517, 673],0.0,0.0
18,[671, 859, 799, 879],0.0,0.0
19,[115, 264, 455, 633],0.0,0.0
