534,100,200,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,5,Pre_trained Model,Level concatenation upercase,binary,0.725,{'C': 2}
588,100,100,0.95,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level post upercase,binary,0.723404255319149,{'C': 0.05}
665,200,100,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level concatenation upercase,binary,0.7228915662650603,{'C': 2}
556,100,200,0.99,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,20,Pre_trained Model,Level concatenation upercase,binary,0.7209302325581395,{'C': 0.05}
639,500,200,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level post lowercase,binary,0.72,{'C': 0.25}
633,100,100,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level post upercase,binary,0.7191011235955055,{'C': 0.05}
455,100,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,both,5-10,Pre_trained Model,Level post upercase,tf,0.7179487179487181,{'C': 0.25}
601,200,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level concatenation upercase,binary,0.7179487179487181,{'C': 0.05}
646,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level concatenation upercase,binary,0.7179487179487181,{'C': 0.25}
554,100,200,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,20,Pre_trained Model,Level concatenation upercase,binary,0.7142857142857143,{'C': 0.05}
355,200,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,both,5-10-20,Pre_trained Model,Level concatenation upercase,binary,0.7142857142857142,{'C': 0.12}
579,200,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,positive,10,Pre_trained Model,Level concatenation upercase,binary,0.7123287671232876,{'C': 0.25}
558,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,20,Pre_trained Model,Level concatenation upercase,binary,0.711111111111111,{'C': 1}
606,300,700,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level post upercase,binary,0.7105263157894737,{'C': 0.05}
643,200,100,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level concatenation upercase,binary,0.7088607594936709,{'C': 0.25}
623,200,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,10,Pre_trained Model,Level concatenation upercase,binary,0.7073170731707317,{'C': 0.5}
641,200,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,20,Pre_trained Model,Level concatenation upercase,binary,0.7058823529411764,{'C': 0.05}
690,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,10-20,Pre_trained Model,Level concatenation upercase,binary,0.7058823529411764,{'C': 0.25}
701,100,200,0.99,No difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,5-20,Anorexia Model,Level post lowercase,binary,0.7045454545454545,{'C': 0.05}
663,200,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level concatenation upercase,binary,0.7032967032967035,{'C': 0.05}
597,200,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level concatenation upercase,binary,0.7021276595744681,{'C': 0.05}
774,100,200,0.99,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,10-20,Pre_trained Model,Level concatenation upercase,binary,0.6990291262135923,{'C': 0.5}
894,100,100,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level post upercase,tf,0.6976744186046511,{'C': 0.25}
611,100,100,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,10,Pre_trained Model,Level post upercase,binary,0.6976744186046511,{'C': 0.05}
580,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,10,Pre_trained Model,Level concatenation upercase,binary,0.6956521739130435,{'C': 0.05}
530,500,200,0.9,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,positive,5,Pre_trained Model,Level post lowercase,binary,0.6944444444444445,{'C': 0.12}
675,100,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,10-20,Pre_trained Model,Level post upercase,binary,0.6904761904761904,{'C': 0.05}
1007,100,100,0.9,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-20,Pre_trained Model,Level post upercase,tf,0.6904761904761904,{'C': 0.05}
971,200,100,0.99,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10,Pre_trained Model,Level concatenation upercase,tf,0.6904761904761904,{'C': 0.12}
548,100,200,0.99,No difference,Not Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,20,Anorexia Model,Level post lowercase,binary,0.6888888888888889,{'C': 0.05}
713,200,100,0.95,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-20,Pre_trained Model,Level concatenation upercase,binary,0.6888888888888889,{'C': 0.12}
608,100,100,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,10,Pre_trained Model,Level post upercase,binary,0.684931506849315,{'C': 0.12}
706,500,200,0.9,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-20,Pre_trained Model,Level post lowercase,binary,0.684931506849315,{'C': 0.05}
733,200,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-10-20,Pre_trained Model,Level concatenation upercase,binary,0.6835443037974684,{'C': 0.05}
517,300,700,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,both,5-20,Pre_trained Model,Level post upercase,tf,0.6823529411764706,{'C': 0.25}
910,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,5,Pre_trained Model,Level concatenation upercase,tf,0.6823529411764706,{'C': 0.05}
982,100,100,0.99,Difference,Not Fuzzy,Removed stopwords,Full matrix,Clustering,negative,10-20,Pre_trained Model,Level post upercase,tf,0.6818181818181819,{'C': 0.25}
697,100,100,0.95,Difference,Fuzzy,Removed stopwords,Full matrix,Clustering,negative,5-20,Pre_trained Model,Level post upercase,binary,0.6804123711340206,{'C': 0.05}
869,300,700,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,positive,20,Pre_trained Model,Level post upercase,tf,0.6804123711340206,{'C': 0.05}
495,300,700,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,both,10-20,Pre_trained Model,Level post upercase,tf,0.6764705882352942,{'C': 0.05}
426,100,200,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,both,5-20,Pre_trained Model,Level concatenation upercase,binary,0.676056338028169,{'C': 0.12}
635,100,200,0.99,No difference,Fuzzy,Not removed stopwords,Full matrix,Clustering,negative,20,Anorexia Model,Level post lowercase,binary,0.674698795180723,{'C': 0.05}
