1394,1700,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5,Depression Model,Level post lowercase,binary,0.588235294117647,{'C': 0.12}
1426,1500,2000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,10,Depression Model,Level user lowercase,binary,0.588235294117647,{'C': 0.05}
1910,1500,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,10,Depression Model,Level user lowercase,binary,0.588235294117647,{'C': 0.05}
2196,1500,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,20,Depression Model,Level user lowercase,binary,0.588235294117647,{'C': 0.05}
543,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,5-10,Depression Model,Level post lowercase,binary,0.5877551020408163,{'C': 0.05}
2205,2000,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,10,Depression Model,Level post lowercase,binary,0.5873015873015873,{'C': 0.05}
472,1500,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,5,Depression Model,Level post lowercase,binary,0.5871559633027523,{'C': 0.12}
2167,1500,1000,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5871559633027523,{'C': 0.05}
547,1500,1000,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,5-10,Depression Model,Level post lowercase,binary,0.5863874345549738,{'C': 0.05}
1857,1700,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5862068965517242,{'C': 0.05}
202,2000,2000,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,both,10-20,Depression Model,Level post lowercase,tf,0.586046511627907,{'C': 0.05}
2308,1500,1000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5-10-20,Depression Model,Level post lowercase,binary,0.5859375,{'C': 2}
471,1700,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,5,Depression Model,Level user lowercase,binary,0.5857740585774059,{'C': 0.12}
2173,1500,1500,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level post lowercase,binary,0.5857740585774059,{'C': 0.5}
1389,1700,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5,Depression Model,Level user lowercase,binary,0.5855855855855855,{'C': 0.05}
951,2000,2000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,both,5-10,Depression Model,Level post lowercase,binary,0.5849056603773586,{'C': 0.12}
125,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,both,10,Depression Model,Level post lowercase,binary,0.5846153846153846,{'C': 4}
477,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,5,Depression Model,Level post lowercase,binary,0.5844748858447489,{'C': 0.25}
2209,1700,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,10,Depression Model,Level user lowercase,binary,0.5833333333333334,{'C': 4}
2168,1500,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level user lowercase,binary,0.582857142857143,{'C': 0.05}
1511,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,10-20,Depression Model,Level post lowercase,binary,0.5824175824175825,{'C': 0.05}
2478,1500,1500,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5824175824175825,{'C': 0.25}
2465,200,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.582010582010582,{'C': 0.05}
1485,1500,1000,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5-20,Depression Model,Level user lowercase,binary,0.582010582010582,{'C': 2}
1390,2000,2000,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5,Depression Model,Level post lowercase,binary,0.5806451612903225,{'C': 0.05}
2159,1700,1500,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5800865800865801,{'C': 0.12}
68,1500,2000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,both,5-20,Depression Model,Level post lowercase,binary,0.5793650793650794,{'C': 4}
497,1500,1000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,10,Depression Model,Level user lowercase,binary,0.579185520361991,{'C': 0.05}
372,1500,1000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,10,Depression Model,Level post lowercase,binary,0.5785123966942148,{'C': 0.05}
1859,1500,1000,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5784313725490196,{'C': 0.05}
1527,1700,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5-10-20,Depression Model,Level user lowercase,binary,0.5772357723577235,{'C': 0.05}
2160,2000,2000,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level post lowercase,binary,0.5771144278606966,{'C': 0.12}
318,1500,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level post lowercase,binary,0.5771144278606966,{'C': 0.05}
1204,1500,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,both,10,Depression Model,Level post lowercase,tf,0.5770750988142292,{'C': 4}
103,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,both,5,Depression Model,Level post lowercase,binary,0.5767441860465117,{'C': 0.05}
1849,200,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.576271186440678,{'C': 0.05}
1417,1700,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,10,Depression Model,Level user lowercase,binary,0.5759162303664921,{'C': 0.05}
1241,1700,1500,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.5757575757575758,{'C': 0.05}
2210,1500,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,10,Depression Model,Level post lowercase,binary,0.575609756097561,{'C': 0.05}
976,1700,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,both,10-20,Depression Model,Level post lowercase,binary,0.575609756097561,{'C': 0.05}
501,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,negative,10,Depression Model,Level post lowercase,binary,0.575609756097561,{'C': 1}
1922,1700,1500,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5-10,Depression Model,Level post lowercase,binary,0.5753424657534246,{'C': 0.05}
1027,1500,1500,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,both,5,Depression Model,Level post lowercase,binary,0.5752212389380531,{'C': 0.05}
2172,1500,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level post lowercase,binary,0.575,{'C': 0.05}
1860,1500,1500,0.9,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level user lowercase,binary,0.574712643678161,{'C': 0.12}
1237,2000,2000,0.95,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5,Depression Model,Level post lowercase,binary,0.5745856353591161,{'C': 0.05}
1386,2000,2000,0.95,Difference,Fuzzy,Not removed stopwords,Full matrix,None,add topic,negative,5,Depression Model,Level user lowercase,binary,0.5742574257425743,{'C': 0.5}
1897,2000,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,10,Depression Model,Level post lowercase,binary,0.5740740740740742,{'C': 0.05}
2161,2000,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,simple,add topic,positive,5,Depression Model,Level post lowercase,binary,0.5739910313901346,{'C': 0.05}
2510,1500,2000,0.9,Difference,Not Fuzzy,Not removed stopwords,Full matrix,None,add topic,positive,5-10,Depression Model,Level post lowercase,binary,0.5739130434782608,{'C': 0.05}
