	best_parameter	f1	is_norm_dataset	is_norm_vec	dict
1	{'C': 4}	0.5714285714285714	standard	avg	dict51
2	{'C': 4}	0.3655913978494624	standard	norm	dict51
3	{'C': 4}	0.33587786259541985	normalize	none	dict51_ex
4	{'C': 4}	0.5103448275862069	standard	none	dict51_ex
5	{'C': 4}	0.33587786259541985	normalize	avg	dict51_ex
6	{'C': 4}	0.33587786259541985	normalize	norm	dict51_ex
7	{'C': 0.5}	0.574468085106383	standard	avg	dict51_ex
8	{'C': 2}	0.39506172839506176	normalize	norm	dict51_ex
