	seed value	best_parameter	F1-score
1	426	{'C': 0.05}	0.256
2	612	{'C': 0.05}	0.256
3	490	{'C': 0.05}	0.256
4	546	{'C': 0.05}	0.256
5	45	{'C': 0.05}	0.256
