	score1	score2	tol	fuzzy	remove_stop	svm	compress	n_dif	best	f1	words_pos	words_neg	concatenate	words_embeddings
101	0.0003	0.0003	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	16	7992	True	3
102	0.0003	0.0007	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	16	7992	True	3
103	0.0003	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5565217391304348	27	5004	True	3
104	0.0001	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5565217391304348	8	5004	True	3
105	0.0001	0.0005	0.99	True	False	True	False	False	{'C': 0.12}	0.5765765765765767	8	7992	True	3
106	0.0001	5e-05	0.99	True	False	True	False	False	{'C': 0.05}	0.5213675213675214	9	3429	True	3
107	0.0005	0.0005	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	22	7992	True	3
108	0.005	0.001	0.99	True	False	True	False	False	{'C': 0.05}	0.6000000000000001	1753	7992	True	3
109	0.0005	0.0008	0.99	True	False	True	False	False	{'C': 0.05}	0.579185520361991	22	7992	True	3
110	0.0001	0.0001	0.99	True	False	True	False	False	{'C': 0.05}	0.5565217391304348	8	5004	True	3
111	0.0001	0.0006	0.99	True	True	True	False	False	{'C': 0.05}	0.5765765765765767	8	7992	True	3
112	0.0001	5e-05	0.99	True	True	True	False	False	{'C': 0.05}	0.5191489361702128	9	3429	True	3
113	0.0003	0.0003	0.99	True	True	True	False	False	{'C': 0.05}	0.5714285714285714	16	7992	True	3
114	0.0003	0.0008	0.99	True	True	True	False	False	{'C': 0.05}	0.5714285714285714	16	7992	True	3
115	0.0003	0.0001	0.99	True	True	True	False	False	{'C': 0.5}	0.5150214592274678	27	5004	True	3
116	0.007	0.007	0.99	True	True	True	False	False	{'C': 0.05}	0.5794392523364486	1753	7992	True	3
117	0.007	0.003	0.99	True	True	True	False	False	{'C': 0.05}	0.5794392523364486	1753	7992	True	3
118	0.007	0.009	0.99	True	True	True	False	False	{'C': 0.05}	0.5794392523364486	1753	7992	True	3
119	0.009	0.004	0.99	True	True	True	False	False	{'C': 0.05}	0.5794392523364486	1753	7992	True	3
120	0.005	0.005	0.99	True	True	True	False	False	{'C': 0.05}	0.5794392523364486	1753	7992	True	3
