329,0.95,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict2,2010,Emotions and words,NB,0.7567567567567567,None
330,0.95,Not Fuzzy,Removed stopwords,Anorexia Model,tf,dict2,2010,Emotions and words,NB,0.7567567567567567,None
331,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict2,2010,Emotions and words,NB,0.7567567567567567,None
124,0.9,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.75,{'C': 0.05}
125,0.9,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.75,{'C': 0.05}
126,0.9,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.75,{'C': 0.05}
127,0.9,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.75,{'C': 0.05}
341,0.95,Fuzzy,Not removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.746987951807229,None
343,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.746987951807229,None
209,0.99,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7356321839080461,None
211,0.99,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7356321839080461,None
196,0.99,Fuzzy,Removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
228,0.99,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
356,0.95,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
240,0.99,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.7333333333333334,None
368,0.95,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.7333333333333334,None
197,0.99,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
229,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
357,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
230,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
358,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
242,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.7333333333333334,None
370,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.7333333333333334,None
231,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
359,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,NB,0.7333333333333334,None
193,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7323943661971831,{'C': 0.05}
65,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7323943661971831,{'C': 0.05}
195,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7323943661971831,{'C': 0.05}
67,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7323943661971831,{'C': 0.05}
324,0.95,Fuzzy,Removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7297297297297297,None
188,0.95,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
60,0.99,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
325,0.95,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7297297297297297,None
189,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
129,0.9,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
61,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
326,0.95,Not Fuzzy,Removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7297297297297297,None
190,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
62,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
327,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7297297297297297,None
191,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
131,0.9,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
63,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict3,1510,Emotions and words,SVM,0.7297297297297297,{'C': 0.05}
260,0.9,Fuzzy,Removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7272727272727273,None
332,0.95,Fuzzy,Removed stopwords,Anorexia Model,tf,dict3,1510,Emotions and words,NB,0.7222222222222222,None
32,0.99,Fuzzy,Removed stopwords,Anorexia Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
192,0.95,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
128,0.9,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
64,0.99,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
333,0.95,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict3,1510,Emotions and words,NB,0.7222222222222222,None
337,0.95,Fuzzy,Not removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7222222222222222,None
334,0.95,Not Fuzzy,Removed stopwords,Anorexia Model,tf,dict3,1510,Emotions and words,NB,0.7222222222222222,None
34,0.99,Not Fuzzy,Removed stopwords,Anorexia Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
130,0.9,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
194,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
66,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict4,1510,Emotions and words,SVM,0.7222222222222222,{'C': 0.05}
335,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict3,1510,Emotions and words,NB,0.7222222222222222,None
339,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7222222222222222,None
198,0.99,Not Fuzzy,Removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7191011235955055,None
199,0.99,Not Fuzzy,Not removed stopwords,Anorexia Model,tf,dict1,510,Emotions and words,NB,0.7191011235955055,None
116,0.9,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,SVM,0.7179487179487181,{'C': 0.25}
117,0.9,Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,SVM,0.7179487179487181,{'C': 0.25}
118,0.9,Not Fuzzy,Removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,SVM,0.7179487179487181,{'C': 0.25}
119,0.9,Not Fuzzy,Not removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,SVM,0.7179487179487181,{'C': 0.25}
212,0.99,Fuzzy,Removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.7142857142857144,None
213,0.99,Fuzzy,Not removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.7142857142857144,None
214,0.99,Not Fuzzy,Removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.7142857142857144,None
215,0.99,Not Fuzzy,Not removed stopwords,Anorexia Model,binary,dict1,510,Emotions and words,NB,0.7142857142857144,None
28,0.99,Fuzzy,Removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,SVM,0.7123287671232876,{'C': 0.05}
29,0.99,Fuzzy,Not removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,SVM,0.7123287671232876,{'C': 0.05}
30,0.99,Not Fuzzy,Removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,SVM,0.7123287671232876,{'C': 0.05}
31,0.99,Not Fuzzy,Not removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,SVM,0.7123287671232876,{'C': 0.05}
241,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.711111111111111,None
369,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.711111111111111,None
243,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.711111111111111,None
371,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict4,1510,Emotions and words,NB,0.711111111111111,None
336,0.95,Fuzzy,Removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7042253521126761,None
33,0.99,Fuzzy,Not removed stopwords,Anorexia Model,binary,dict4,1510,Emotions and words,SVM,0.7042253521126761,{'C': 0.05}
338,0.95,Not Fuzzy,Removed stopwords,Anorexia Model,tf,dict4,1510,Emotions and words,NB,0.7042253521126761,None
35,0.99,Not Fuzzy,Not removed stopwords,Anorexia Model,binary,dict4,1510,Emotions and words,SVM,0.7042253521126761,{'C': 0.05}
349,0.95,Fuzzy,Not removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,NB,0.6829268292682927,None
351,0.95,Not Fuzzy,Not removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,NB,0.6829268292682927,None
236,0.99,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
364,0.95,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
237,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
365,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
238,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
366,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
239,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
367,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict3,1510,Emotions and words,NB,0.6799999999999999,None
348,0.95,Fuzzy,Removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,NB,0.674698795180723,None
350,0.95,Not Fuzzy,Removed stopwords,Anorexia Model,binary,dict3,1510,Emotions and words,NB,0.674698795180723,None
100,0.9,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
104,0.9,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict2,2010,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
101,0.9,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
105,0.9,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict2,2010,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
102,0.9,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
106,0.9,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict2,2010,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
103,0.9,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
107,0.9,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict2,2010,Emotions and words,SVM,0.6666666666666666,{'C': 0.25}
36,0.99,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
164,0.95,Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
165,0.95,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
37,0.99,Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
166,0.95,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
38,0.99,Not Fuzzy,Removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
167,0.95,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
39,0.99,Not Fuzzy,Not removed stopwords,Pre_trained Model,tf,dict1,510,Emotions and words,SVM,0.6578947368421052,{'C': 0.12}
244,0.99,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,NB,0.6562499999999999,None
372,0.95,Fuzzy,Removed stopwords,Pre_trained Model,binary,dict1,510,Emotions and words,NB,0.6562499999999999,None
