	min	max	num_feat	weighting	best_parameter	f1
1	1	1	100	stopwords	{'C': 4}	0.6116838487972509
2	2	2	3000	stopwords	{'C': 4}	0.5407166123778502
3	2	2	500	tf_idf	{'C': 4}	0.5559105431309904
4	1	2	500	tf_idf	{'C': 4}	0.5916398713826366
5	1	3	1500	tf_idf	{'C': 0.05}	0.5942492012779553
6	1	2	2500	stopwords	{'C': 0.25}	0.5923566878980892
7	1	1	3500	tf	{'C': 2}	0.5454545454545455
8	2	2	1500	tf	{'C': 4}	0.43765903307888043
9	1	2	1500	tf	{'C': 4}	0.4851752021563342
10	1	3	1500	tf	{'C': 4}	0.4061810154525386
11	2	3	1500	tf	{'C': 4}	0.3415559772296015
12	2	2	1700	tf_stop	{'C': 4}	0.5196374622356495
13	1	2	1700	tf_stop	{'C': 1}	0.5822784810126582
14	1	3	3000	tf_stop	{'C': 4}	0.4541062801932367
15	1	1	1700	tf_stop	{'C': 2}	0.6332046332046332
