	tol	num_feats	remove_stop	f1
1	0.99	4500	False	0.2493074792243767
2	0.99	5000	False	0.25348189415041783
3	0.99	5500	False	0.24759284731774414
4	0.99	6000	False	0.2517482517482517
5	0.99	7000	False	0.251788268955651
6	0.99	7500	False	0.25219941348973607
7	0.99	8000	False	0.25835866261398177
8	0.99	8500	False	0.2745709828393136
9	0.99	9000	False	0.2760834670947031
10	0.99	95000	False	0.16101694915254236
11	0.99	10000	False	0.27892234548335976
12	0.99	11000	False	0.28668941979522183
13	0.99	12000	False	0.2992957746478873
14	0.99	13000	False	0.28782287822878233
15	0.99	140000	False	0.08547008547008547
16	0.99	15000	False	0.31007751937984496
17	0.99	4500	True	0.2496570644718793
18	0.99	5000	True	0.2496570644718793
19	0.99	5500	True	0.24722222222222223
20	0.99	6000	True	0.2482758620689655
21	0.99	7000	True	0.25501432664756446
22	0.99	7500	True	0.245014245014245
23	0.99	8000	True	0.2603369065849923
24	0.99	8500	True	0.27586206896551724
25	0.99	9000	True	0.2764227642276423
26	0.99	95000	True	0.16101694915254236
27	0.99	10000	True	0.2720247295208655
28	0.99	11000	True	0.2896551724137931
29	0.99	12000	True	0.2942206654991244
30	0.99	13000	True	0.30111524163568776
31	0.99	140000	True	0.08547008547008547
32	0.99	15000	True	0.30919765166340507
