	tol	num_feats	remove_stop	fuzzy	svm	compress	f1
1	0.99	5000	False	Fuzzy	False	False	0.2531293463143255
2	0.99	7000	False	Fuzzy	False	False	0.25071225071225073
3	0.99	8000	False	Fuzzy	False	False	0.2556390977443609
4	0.99	8500	False	Fuzzy	False	False	0.2745709828393136
5	0.99	9000	False	Fuzzy	False	False	0.2765273311897106
6	0.99	10000	False	Fuzzy	False	False	0.2757527733755943
7	0.99	11000	False	Fuzzy	False	False	0.28668941979522183
8	0.99	12000	False	Fuzzy	False	False	0.29772329246935203
9	0.99	13000	False	Fuzzy	False	False	0.2867513611615245
10	0.99	15000	False	Fuzzy	False	False	0.3038461538461538
11	0.99	5000	True	Fuzzy	False	False	0.25034387895460797
12	0.99	7000	True	Fuzzy	False	False	0.2521246458923513
13	0.99	8000	True	Fuzzy	False	False	0.2599388379204893
14	0.99	8500	True	Fuzzy	False	False	0.275
15	0.99	9000	True	Fuzzy	False	False	0.27697262479871176
16	0.99	10000	True	Fuzzy	False	False	0.2732919254658385
17	0.99	11000	True	Fuzzy	False	False	0.28620689655172415
18	0.99	12000	True	Fuzzy	False	False	0.2906574394463668
19	0.99	13000	True	Fuzzy	False	False	0.30091743119266057
20	0.99	15000	True	Fuzzy	False	False	0.30174081237911027
21	0.99	5000	False	No-fuzzy	False	False	0.25
22	0.99	7000	False	No-fuzzy	False	False	0.24684431977559604
23	0.99	8000	False	No-fuzzy	False	False	0.25406203840472674
24	0.99	8500	False	No-fuzzy	False	False	0.2695252679938744
25	0.99	9000	False	No-fuzzy	False	False	0.27001569858712715
26	0.99	10000	False	No-fuzzy	False	False	0.2724458204334365
27	0.99	11000	False	No-fuzzy	False	False	0.2838063439065108
28	0.99	12000	False	No-fuzzy	False	False	0.29452054794520544
29	0.99	13000	False	No-fuzzy	False	False	0.28822495606326887
30	0.99	15000	False	No-fuzzy	False	False	0.30337078651685395
31	0.99	11000	True	No-fuzzy	False	False	0.24661246612466123
32	0.99	12000	True	No-fuzzy	False	False	0.24687933425797504
33	0.99	13000	True	No-fuzzy	False	False	0.25411061285500747
34	0.99	15000	True	No-fuzzy	False	False	0.2654600301659125
35	0.99	5000	True	No-fuzzy	False	False	0.26917057902973396
36	0.99	7000	True	No-fuzzy	False	False	0.2670713201820941
37	0.99	8000	True	No-fuzzy	False	False	0.28183361629881154
38	0.99	8500	True	No-fuzzy	False	False	0.28668941979522183
39	0.99	9000	True	No-fuzzy	False	False	0.2923351158645276
40	0.99	10000	True	No-fuzzy	False	False	0.300187617260788
