	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
181	5000	0.99	False	False	True	False	0.5622119815668203	{'C': 0.05}
182	7000	0.99	False	False	True	False	0.5871559633027523	{'C': 0.12}
183	8000	0.99	False	False	True	False	0.5953488372093022	{'C': 0.05}
184	8500	0.99	False	False	True	False	0.5794392523364486	{'C': 0.25}
185	9000	0.99	False	False	True	False	0.5833333333333334	{'C': 0.12}
186	10000	0.99	False	False	True	False	0.5767441860465117	{'C': 0.25}
187	11000	0.99	False	False	True	False	0.6018518518518517	{'C': 0.05}
188	12000	0.99	False	False	True	False	0.5981308411214952	{'C': 0.12}
189	13000	0.99	False	False	True	False	0.6046511627906976	{'C': 0.05}
190	15000	0.99	False	False	True	False	0.5943396226415094	{'C': 0.05}
191	5000	0.99	False	True	True	False	0.5253456221198157	{'C': 0.05}
192	7000	0.99	False	True	True	False	0.5370370370370371	{'C': 0.05}
193	8000	0.99	False	True	True	False	0.5555555555555556	{'C': 0.5}
194	8500	0.99	False	True	True	False	0.5462962962962964	{'C': 0.05}
195	9000	0.99	False	True	True	False	0.5555555555555556	{'C': 0.05}
196	10000	0.99	False	True	True	False	0.5592417061611374	{'C': 0.25}
197	11000	0.99	False	True	True	False	0.5514018691588785	{'C': 0.25}
198	12000	0.99	False	True	True	False	0.5539906103286385	{'C': 0.05}
199	13000	0.99	False	True	True	False	0.5514018691588785	{'C': 0.12}
200	15000	0.99	False	True	True	False	0.5514018691588785	{'C': 0.25}
