	num_feats	tol	fuzzy	remove_stop	svm	compress	f1	best
161	5000	0.99	True	False	True	False	0.5622119815668203	{'C': 0.05}
162	7000	0.99	True	False	True	False	0.5871559633027523	{'C': 0.12}
163	8000	0.99	True	False	True	False	0.5953488372093022	{'C': 0.05}
164	8500	0.99	True	False	True	False	0.5794392523364486	{'C': 0.25}
165	9000	0.99	True	False	True	False	0.5833333333333334	{'C': 0.12}
166	10000	0.99	True	False	True	False	0.5767441860465117	{'C': 0.25}
167	11000	0.99	True	False	True	False	0.6018518518518517	{'C': 0.05}
168	12000	0.99	True	False	True	False	0.6046511627906976	{'C': 0.05}
169	13000	0.99	True	False	True	False	0.6046511627906976	{'C': 0.05}
170	15000	0.99	True	False	True	False	0.5943396226415094	{'C': 0.05}
171	5000	0.99	True	True	True	False	0.5253456221198157	{'C': 0.05}
172	7000	0.99	True	True	True	False	0.5370370370370371	{'C': 0.05}
173	8000	0.99	True	True	True	False	0.5555555555555556	{'C': 0.5}
174	8500	0.99	True	True	True	False	0.5462962962962964	{'C': 0.05}
175	9000	0.99	True	True	True	False	0.5529953917050692	{'C': 0.05}
176	10000	0.99	True	True	True	False	0.5592417061611374	{'C': 0.25}
177	11000	0.99	True	True	True	False	0.5514018691588785	{'C': 0.25}
178	12000	0.99	True	True	True	False	0.5539906103286385	{'C': 0.05}
179	13000	0.99	True	True	True	False	0.5514018691588785	{'C': 0.12}
180	15000	0.99	True	True	True	False	0.5514018691588785	{'C': 0.25}
