	score1	score2	tol	remove_stop	fuzzy	no_dist	svm	compress	best	f1	words_pos	words_neg	concatenate	word_embeddings
97	0.0003	0.0003	0.99	True	True	True	True	True	{'C': 4}	0.20657276995305165	266	1317	True	1
98	0.0003	0.0001	0.99	True	True	True	True	True	{'C': 2}	0.3263157894736842	266	583	True	1
99	0.0001	5e-05	0.99	True	True	True	True	True	{'C': 1}	0.21621621621621626	111	362	True	1
100	5e-05	5e-05	0.99	True	True	True	True	True	{'C': 0.05}	0.15469613259668508	64	362	True	1
101	5e-05	1e-05	0.99	True	True	True	True	True	{'C': 0.5}	0.27906976744186046	64	83	True	1
102	0.007	0.003	0.99	True	True	True	True	True	{'C': 0.5}	0.38095238095238093	2648	5875	True	1
103	0.0003	0.0003	0.99	True	False	True	True	True	{'C': 4}	0.20657276995305165	266	1317	True	1
104	0.0003	0.0001	0.99	True	False	True	True	True	{'C': 2}	0.3263157894736842	266	583	True	1
105	0.0001	5e-05	0.99	True	False	True	True	True	{'C': 1}	0.21621621621621626	111	362	True	1
106	5e-05	5e-05	0.99	True	False	True	True	True	{'C': 0.05}	0.15469613259668508	64	362	True	1
107	5e-05	1e-05	0.99	True	False	True	True	True	{'C': 0.5}	0.27906976744186046	64	83	True	1
108	0.007	0.003	0.99	True	False	True	True	True	{'C': 0.5}	0.38095238095238093	2648	5875	True	1
109	0.0003	0.0003	0.99	False	True	True	True	True	{'C': 4}	0.205607476635514	266	1317	True	1
110	0.0003	0.0001	0.99	False	True	True	True	True	{'C': 4}	0.328042328042328	266	583	True	1
111	0.0001	5e-05	0.99	False	True	True	True	True	{'C': 2}	0.2185792349726776	111	362	True	1
112	5e-05	5e-05	0.99	False	True	True	True	True	{'C': 0.25}	0.15053763440860213	64	362	True	1
113	5e-05	1e-05	0.99	False	True	True	True	True	{'C': 0.12}	0.27272727272727276	64	83	True	1
114	0.007	0.003	0.99	False	True	True	True	True	{'C': 0.5}	0.3888888888888889	2648	5875	True	1
115	0.0003	0.0003	0.99	False	False	True	True	True	{'C': 4}	0.205607476635514	266	1317	True	1
116	0.0003	0.0001	0.99	False	False	True	True	True	{'C': 4}	0.328042328042328	266	583	True	1
117	0.0001	5e-05	0.99	False	False	True	True	True	{'C': 2}	0.2185792349726776	111	362	True	1
118	5e-05	5e-05	0.99	False	False	True	True	True	{'C': 0.25}	0.15053763440860213	64	362	True	1
119	5e-05	1e-05	0.99	False	False	True	True	True	{'C': 0.12}	0.27272727272727276	64	83	True	1
120	0.007	0.003	0.99	False	False	True	True	True	{'C': 0.5}	0.3888888888888889	2648	5875	True	1
121	0.0003	0.0003	0.99	True	True	False	True	True	{'C': 0.05}	0.1773399014778325	79	1296	True	1
122	0.0003	0.0001	0.99	True	True	False	True	True	{'C': 4}	0.2976190476190476	87	572	True	1
123	0.0001	5e-05	0.99	True	True	False	True	True	{'C': 0.05}	0.17142857142857143	39	357	True	1
124	5e-05	5e-05	0.99	True	True	False	True	True	{'C': 0.05}	0.1581920903954802	18	357	True	1
125	5e-05	1e-05	0.99	True	True	False	True	True	{'C': 0.5}	0.310880829015544	32	82	True	1
126	0.007	0.003	0.99	True	True	False	True	True	{'C': 1}	0.8	515	5745	True	1
127	0.0003	0.0003	0.99	True	False	False	True	True	{'C': 0.05}	0.1773399014778325	79	1296	True	1
128	0.0003	0.0001	0.99	True	False	False	True	True	{'C': 4}	0.2976190476190476	87	572	True	1
129	0.0001	5e-05	0.99	True	False	False	True	True	{'C': 0.05}	0.17142857142857143	39	357	True	1
130	5e-05	5e-05	0.99	True	False	False	True	True	{'C': 0.05}	0.1581920903954802	18	357	True	1
131	5e-05	1e-05	0.99	True	False	False	True	True	{'C': 0.5}	0.310880829015544	32	82	True	1
132	0.007	0.003	0.99	True	False	False	True	True	{'C': 1}	0.8	515	5745	True	1
133	0.0003	0.0003	0.99	False	True	False	True	True	{'C': 0.05}	0.1773399014778325	79	1296	True	1
134	0.0003	0.0001	0.99	False	True	False	True	True	{'C': 0.5}	0.2976190476190476	87	572	True	1
135	0.0001	5e-05	0.99	False	True	False	True	True	{'C': 0.05}	0.17241379310344826	39	357	True	1
136	5e-05	5e-05	0.99	False	True	False	True	True	{'C': 0.05}	0.1581920903954802	18	357	True	1
137	5e-05	1e-05	0.99	False	True	False	True	True	{'C': 0.5}	0.310880829015544	32	82	True	1
138	0.007	0.003	0.99	False	True	False	True	True	{'C': 1}	0.8	515	5745	True	1
139	0.0003	0.0003	0.99	False	False	False	True	True	{'C': 0.05}	0.1773399014778325	79	1296	True	1
140	0.0003	0.0001	0.99	False	False	False	True	True	{'C': 0.5}	0.2976190476190476	87	572	True	1
141	0.0001	5e-05	0.99	False	False	False	True	True	{'C': 0.05}	0.17241379310344826	39	357	True	1
142	5e-05	5e-05	0.99	False	False	False	True	True	{'C': 0.05}	0.1581920903954802	18	357	True	1
143	5e-05	1e-05	0.99	False	False	False	True	True	{'C': 0.5}	0.310880829015544	32	82	True	1
144	0.007	0.003	0.99	False	False	False	True	True	{'C': 1}	0.8	515	5745	True	1
