	score1	score2	tol	remove_stop	fuzzy	no_dist	svm	compress	best	f1	words_pos	words_neg	concatenate	word_embeddings
1145	0.01	0.005	0.99	True	True	True	True	False	{'C': 2}	0.30601092896174864	591	449	False	3
1146	0.003	0.001	0.99	True	True	True	True	False	{'C': 0.05}	0.271356783919598	80	62	False	3
1147	0.001	0.0005	0.99	True	True	True	True	False	{'C': 0.5}	0.32173913043478264	11	26	False	3
1148	0.005	0.005	0.99	True	True	True	True	False	{'C': 0.05}	0.2727272727272727	193	449	False	3
1149	0.005	0.001	0.99	True	True	True	True	False	{'C': 0.12}	0.2634146341463415	193	62	False	3
1150	0.007	0.003	0.99	True	True	True	True	False	{'C': 0.05}	0.2391304347826087	301	213	False	3
1151	0.003	0.003	0.99	True	False	True	True	False	{'C': 0.05}	0.2857142857142857	80	213	False	3
1152	0.03	0.01	0.99	True	False	True	True	False	{'C': 0.5}	0.8157894736842105	2848	1197	False	3
1153	0.001	0.001	0.99	True	False	True	True	False	{'C': 0.05}	0.3105022831050228	11	62	False	3
1154	0.005	0.003	0.99	True	False	True	True	False	{'C': 0.05}	0.2608695652173913	193	213	False	3
1155	0.0005	0.0005	0.99	True	False	True	True	False	{'C': 0.05}	0.06451612903225808	2	26	False	3
1156	0.0005	0.0003	0.99	True	False	True	True	False	{'C': 0.05}	0.03921568627450981	2	15	False	3
1157	0.01	0.005	0.99	False	True	True	True	False	{'C': 2}	0.30601092896174864	591	449	False	3
1158	0.003	0.001	0.99	False	True	True	True	False	{'C': 0.05}	0.271356783919598	80	62	False	3
1159	0.001	0.0005	0.99	False	True	True	True	False	{'C': 0.5}	0.32173913043478264	11	26	False	3
1160	0.005	0.005	0.99	False	True	True	True	False	{'C': 0.05}	0.2814070351758794	193	449	False	3
1161	0.005	0.001	0.99	False	True	True	True	False	{'C': 0.12}	0.2634146341463415	193	62	False	3
1162	0.007	0.003	0.99	False	True	True	True	False	{'C': 0.05}	0.2391304347826087	301	213	False	3
1163	0.003	0.003	0.99	False	False	True	True	False	{'C': 0.05}	0.2857142857142857	80	213	False	3
1164	0.03	0.01	0.99	False	False	True	True	False	{'C': 0.5}	0.8311688311688312	2848	1197	False	3
1165	0.001	0.001	0.99	False	False	True	True	False	{'C': 0.05}	0.3105022831050228	11	62	False	3
1166	0.005	0.003	0.99	False	False	True	True	False	{'C': 0.25}	0.2634146341463415	193	213	False	3
1167	0.0005	0.0005	0.99	False	False	True	True	False	{'C': 0.05}	0.06451612903225808	2	26	False	3
1168	0.0005	0.0003	0.99	False	False	True	True	False	{'C': 0.05}	0.03921568627450981	2	15	False	3
1169	0.01	0.005	0.99	True	True	False	True	False	{'C': 2}	0.30601092896174864	589	449	False	3
1170	0.003	0.001	0.99	True	True	False	True	False	{'C': 0.05}	0.271356783919598	80	62	False	3
1171	0.001	0.0005	0.99	True	True	False	True	False	{'C': 0.5}	0.32173913043478264	11	26	False	3
1172	0.005	0.005	0.99	True	True	False	True	False	{'C': 0.05}	0.2814070351758794	193	449	False	3
1173	0.005	0.001	0.99	True	True	False	True	False	{'C': 0.12}	0.2634146341463415	193	62	False	3
1174	0.007	0.003	0.99	True	True	False	True	False	{'C': 0.05}	0.2391304347826087	301	213	False	3
1175	0.003	0.003	0.99	True	False	False	True	False	{'C': 0.05}	0.2857142857142857	80	213	False	3
1176	0.03	0.01	0.99	True	False	False	True	False	{'C': 0.5}	0.8157894736842105	2820	1190	False	3
1177	0.001	0.001	0.99	True	False	False	True	False	{'C': 0.05}	0.3105022831050228	11	62	False	3
1178	0.005	0.003	0.99	True	False	False	True	False	{'C': 0.5}	0.2634146341463415	193	213	False	3
1179	0.0005	0.0005	0.99	True	False	False	True	False	{'C': 0.05}	0.06451612903225808	2	26	False	3
1180	0.0005	0.0003	0.99	True	False	False	True	False	{'C': 0.05}	0.03921568627450981	2	15	False	3
1181	0.01	0.005	0.99	False	True	False	True	False	{'C': 2}	0.30601092896174864	589	449	False	3
1182	0.003	0.001	0.99	False	True	False	True	False	{'C': 0.05}	0.271356783919598	80	62	False	3
1183	0.001	0.0005	0.99	False	True	False	True	False	{'C': 0.5}	0.32173913043478264	11	26	False	3
1184	0.005	0.005	0.99	False	True	False	True	False	{'C': 0.05}	0.27860696517412936	193	449	False	3
1185	0.005	0.001	0.99	False	True	False	True	False	{'C': 0.12}	0.2634146341463415	193	62	False	3
1186	0.007	0.003	0.99	False	True	False	True	False	{'C': 0.05}	0.2391304347826087	301	213	False	3
1187	0.003	0.003	0.99	False	False	False	True	False	{'C': 0.05}	0.2857142857142857	80	213	False	3
1188	0.03	0.01	0.99	False	False	False	True	False	{'C': 0.5}	0.8311688311688312	2820	1190	False	3
1189	0.001	0.001	0.99	False	False	False	True	False	{'C': 0.05}	0.3105022831050228	11	62	False	3
1190	0.005	0.003	0.99	False	False	False	True	False	{'C': 0.12}	0.2660098522167488	193	213	False	3
1191	0.0005	0.0005	0.99	False	False	False	True	False	{'C': 0.05}	0.06451612903225808	2	26	False	3
1192	0.0005	0.0003	0.99	False	False	False	True	False	{'C': 0.05}	0.03921568627450981	2	15	False	3
