	score1	score2	tol	remove_stop	fuzzy	no_dist	svm	compress	best	f1	words_pos	words_neg	concatenate	word_embeddings
1049	0.001	0.005	0.99	True	True	True	True	True	{'C': 0.05}	0.24615384615384614	11	449	False	3
1050	0.003	0.001	0.99	True	True	True	True	True	{'C': 0.05}	0.21645021645021645	80	62	False	3
1051	0.001	0.0005	0.99	True	True	True	True	True	{'C': 0.05}	0.2288557213930348	11	26	False	3
1052	0.005	0.005	0.99	True	True	True	True	True	{'C': 0.05}	0.21459227467811162	193	449	False	3
1053	0.005	0.001	0.99	True	True	True	True	True	{'C': 0.05}	0.22123893805309736	193	62	False	3
1054	0.007	0.003	0.99	True	True	True	True	True	{'C': 0.05}	0.2222222222222222	301	213	False	3
1055	0.003	0.003	0.99	True	False	True	True	True	{'C': 0.05}	0.22317596566523604	80	213	False	3
1056	0.03	0.01	0.99	True	False	True	True	True	{'C': 0.5}	0.2857142857142857	2848	1197	False	3
1057	0.001	0.001	0.99	True	False	True	True	True	{'C': 0.05}	0.21524663677130046	11	62	False	3
1058	0.005	0.003	0.99	True	False	True	True	True	{'C': 0.05}	0.22026431718061673	193	213	False	3
1059	0.0005	0.0005	0.99	True	False	True	True	True	{'C': 0.05}	0.22857142857142854	2	26	False	3
1060	0.0005	0.0003	0.99	True	False	True	True	True	{'C': 0.05}	0.0	2	15	False	3
1061	0.001	0.005	0.99	False	True	True	True	True	{'C': 0.05}	0.24615384615384614	11	449	False	3
1062	0.003	0.001	0.99	False	True	True	True	True	{'C': 0.05}	0.21645021645021645	80	62	False	3
1063	0.001	0.0005	0.99	False	True	True	True	True	{'C': 0.05}	0.2288557213930348	11	26	False	3
1064	0.005	0.005	0.99	False	True	True	True	True	{'C': 0.05}	0.21459227467811162	193	449	False	3
1065	0.005	0.001	0.99	False	True	True	True	True	{'C': 0.05}	0.22123893805309736	193	62	False	3
1066	0.007	0.003	0.99	False	True	True	True	True	{'C': 0.05}	0.2222222222222222	301	213	False	3
1067	0.003	0.003	0.99	False	False	True	True	True	{'C': 0.05}	0.22317596566523604	80	213	False	3
1068	0.03	0.01	0.99	False	False	True	True	True	{'C': 0.5}	0.28865979381443296	2848	1197	False	3
1069	0.001	0.001	0.99	False	False	True	True	True	{'C': 0.05}	0.21524663677130046	11	62	False	3
1070	0.005	0.003	0.99	False	False	True	True	True	{'C': 0.05}	0.22026431718061673	193	213	False	3
1071	0.0005	0.0005	0.99	False	False	True	True	True	{'C': 0.05}	0.22857142857142854	2	26	False	3
1072	0.0005	0.0003	0.99	False	False	True	True	True	{'C': 0.05}	0.0	2	15	False	3
1073	0.001	0.005	0.99	True	True	False	True	True	{'C': 0.05}	0.24615384615384614	11	449	False	3
1074	0.003	0.001	0.99	True	True	False	True	True	{'C': 0.05}	0.21645021645021645	80	62	False	3
1075	0.001	0.0005	0.99	True	True	False	True	True	{'C': 0.05}	0.2288557213930348	11	26	False	3
1076	0.005	0.005	0.99	True	True	False	True	True	{'C': 0.05}	0.21459227467811162	193	449	False	3
1077	0.005	0.001	0.99	True	True	False	True	True	{'C': 0.05}	0.22123893805309736	193	62	False	3
1078	0.007	0.003	0.99	True	True	False	True	True	{'C': 0.05}	0.2222222222222222	301	213	False	3
1079	0.003	0.003	0.99	True	False	False	True	True	{'C': 0.05}	0.22317596566523604	80	213	False	3
1080	0.03	0.01	0.99	True	False	False	True	True	{'C': 0.5}	0.2772277227722772	2820	1190	False	3
1081	0.001	0.001	0.99	True	False	False	True	True	{'C': 0.05}	0.21524663677130046	11	62	False	3
1082	0.005	0.003	0.99	True	False	False	True	True	{'C': 0.05}	0.22026431718061673	193	213	False	3
1083	0.0005	0.0005	0.99	True	False	False	True	True	{'C': 0.05}	0.22857142857142854	2	26	False	3
1084	0.0005	0.0003	0.99	True	False	False	True	True	{'C': 0.05}	0.0	2	15	False	3
1085	0.001	0.005	0.99	False	True	False	True	True	{'C': 0.05}	0.24615384615384614	11	449	False	3
1086	0.003	0.001	0.99	False	True	False	True	True	{'C': 0.05}	0.21645021645021645	80	62	False	3
1087	0.001	0.0005	0.99	False	True	False	True	True	{'C': 0.05}	0.2288557213930348	11	26	False	3
1088	0.005	0.005	0.99	False	True	False	True	True	{'C': 0.05}	0.21459227467811162	193	449	False	3
1089	0.005	0.001	0.99	False	True	False	True	True	{'C': 0.05}	0.22123893805309736	193	62	False	3
1090	0.007	0.003	0.99	False	True	False	True	True	{'C': 0.05}	0.2222222222222222	301	213	False	3
1091	0.003	0.003	0.99	False	False	False	True	True	{'C': 0.05}	0.22317596566523604	80	213	False	3
1092	0.03	0.01	0.99	False	False	False	True	True	{'C': 4}	0.28426395939086296	2820	1190	False	3
1093	0.001	0.001	0.99	False	False	False	True	True	{'C': 0.05}	0.21524663677130046	11	62	False	3
1094	0.005	0.003	0.99	False	False	False	True	True	{'C': 0.05}	0.22026431718061673	193	213	False	3
1095	0.0005	0.0005	0.99	False	False	False	True	True	{'C': 0.05}	0.22857142857142854	2	26	False	3
1096	0.0005	0.0003	0.99	False	False	False	True	True	{'C': 0.05}	0.0	2	15	False	3
